"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","219.06","218.54","222.54","218.33","209.04K","-0.04%"
"Apr 20, 2020","219.15","231.24","238.11","216.19","204.21K","-5.25%"
"Apr 19, 2020","231.29","243.61","244.92","230.37","168.74K","-5.12%"
"Apr 18, 2020","243.77","232.33","247.50","232.10","167.13K","5.14%"
"Apr 17, 2020","231.85","235.07","236.83","229.20","131.89K","-1.38%"
"Apr 16, 2020","235.09","214.60","239.67","206.49","380.54K","9.31%"
"Apr 15, 2020","215.06","222.92","225.15","214.05","136.32K","-3.51%"
"Apr 14, 2020","222.89","223.66","228.50","220.18","175.12K","-0.28%"
"Apr 13, 2020","223.51","232.83","232.83","215.89","280.36K","-4.08%"
"Apr 12, 2020","233.01","232.99","244.56","227.06","181.06K","-0.01%"
"Apr 11, 2020","233.03","233.20","239.93","221.79","190.45K","0.17%"
"Apr 10, 2020","232.63","256.24","258.80","225.69","367.29K","-9.11%"
"Apr 09, 2020","255.95","267.23","274.37","253.70","250.92K","-4.24%"
"Apr 08, 2020","267.29","252.63","279.71","250.20","562.54K","5.86%"
"Apr 07, 2020","252.50","257.76","265.24","247.04","287.09K","-2.18%"
"Apr 06, 2020","258.14","231.04","258.77","231.00","295.47K","11.78%"
"Apr 05, 2020","230.94","238.43","239.64","226.49","143.24K","-2.96%"
"Apr 04, 2020","237.98","235.80","241.35","232.10","121.88K","0.82%"
"Apr 03, 2020","236.04","231.70","241.73","230.41","249.72K","1.78%"
"Apr 02, 2020","231.91","224.90","247.53","222.30","400.55K","3.71%"
"Apr 01, 2020","223.62","218.56","224.57","211.73","198.06K","2.39%"
"Mar 31, 2020","218.40","220.09","223.87","215.77","140.62K","-0.71%"
"Mar 30, 2020","219.97","205.78","226.33","205.63","197.09K","7.03%"
"Mar 29, 2020","205.52","214.13","217.05","204.64","144.26K","-3.87%"
"Mar 28, 2020","213.80","212.85","216.76","202.54","288.98K","0.09%"
"Mar 27, 2020","213.60","227.96","233.26","211.31","241.68K","-6.16%"
"Mar 26, 2020","227.63","220.86","227.99","218.76","227.59K","3.16%"
"Mar 25, 2020","220.65","227.01","229.41","213.94","266.42K","-2.91%"
"Mar 24, 2020","227.26","221.22","229.70","217.57","300.15K","2.70%"
"Mar 23, 2020","221.29","202.00","226.50","198.90","411.86K","9.12%"
"Mar 22, 2020","202.80","219.22","232.76","200.52","416.03K","-7.80%"
"Mar 21, 2020","219.95","215.16","229.07","206.95","386.38K","2.28%"
"Mar 20, 2020","215.04","220.68","244.57","191.06","734.56K","-2.70%"
"Mar 19, 2020","221.00","184.84","232.33","177.79","654.08K","19.57%"
"Mar 18, 2020","184.83","182.77","185.79","169.49","350.93K","0.99%"
"Mar 17, 2020","183.01","174.13","187.67","169.31","433.04K","5.97%"
"Mar 16, 2020","172.70","178.07","184.32","148.19","712.01K","-3.03%"
"Mar 15, 2020","178.09","167.36","189.98","165.48","458.68K","6.46%"
"Mar 14, 2020","167.29","177.40","180.07","164.22","662.00K","-5.43%"
"Mar 13, 2020","176.90","143.90","188.38","130.17","1.87M","22.80%"
"Mar 12, 2020","144.06","267.14","267.77","137.87","1.43M","-46.04%"
"Mar 11, 2020","266.98","271.56","274.92","250.34","302.99K","-1.75%"
"Mar 10, 2020","271.74","273.08","277.89","263.78","333.09K","-0.66%"
"Mar 09, 2020","273.55","272.91","280.12","253.42","696.93K","0.23%"
"Mar 08, 2020","272.93","330.66","330.66","268.69","576.13K","-17.50%"
"Mar 07, 2020","330.84","350.73","351.03","328.78","219.12K","-5.67%"
"Mar 06, 2020","350.73","336.74","352.50","332.56","287.98K","3.98%"
"Mar 05, 2020","337.29","319.56","343.36","319.56","303.62K","5.50%"
"Mar 04, 2020","319.70","329.57","332.00","311.00","218.81K","-3.00%"
"Mar 03, 2020","329.59","339.08","339.29","321.52","292.84K","-2.89%"
"Mar 02, 2020","339.40","311.94","342.50","310.93","311.41K","8.64%"
"Mar 01, 2020","312.42","305.70","325.00","304.14","286.03K","2.08%"
"Feb 29, 2020","306.05","315.05","322.50","305.31","226.64K","-3.01%"
"Feb 28, 2020","315.56","324.53","329.25","299.70","397.28K","-2.76%"
"Feb 27, 2020","324.51","316.93","334.87","308.32","405.12K","2.43%"
"Feb 26, 2020","316.82","352.72","361.00","301.98","700.85K","-10.26%"
"Feb 25, 2020","353.06","378.22","379.74","346.40","313.12K","-6.77%"
"Feb 24, 2020","378.71","402.19","407.75","363.68","318.08K","-6.01%"
"Feb 23, 2020","402.91","372.99","404.21","372.15","219.82K","7.94%"
"Feb 22, 2020","373.28","377.50","380.09","367.43","174.75K","-1.18%"
"Feb 21, 2020","377.73","371.09","387.75","367.36","270.57K","1.68%"
"Feb 20, 2020","371.50","378.24","387.65","353.13","435.73K","-1.88%"
"Feb 19, 2020","378.63","419.94","423.14","371.39","325.38K","-9.89%"
"Feb 18, 2020","420.20","413.80","426.75","385.41","492.87K","1.84%"
"Feb 17, 2020","412.60","411.96","416.25","368.19","794.46K","0.08%"
"Feb 16, 2020","412.26","438.88","457.82","383.11","525.00K","-6.08%"
"Feb 15, 2020","438.93","493.52","494.86","423.24","406.47K","-11.11%"
"Feb 14, 2020","493.77","477.14","497.89","466.43","283.70K","3.41%"
"Feb 13, 2020","477.49","473.67","484.20","460.11","295.06K","0.82%"
"Feb 12, 2020","473.59","461.94","482.25","461.94","281.59K","2.55%"
"Feb 11, 2020","461.80","452.23","468.70","440.82","270.29K","2.06%"
