"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","171.39","170.51","173.80","169.78","191.94K","0.47%"
"Apr 20, 2020","170.58","180.45","186.69","166.93","200.72K","-5.54%"
"Apr 19, 2020","180.59","187.87","188.73","176.82","96.34K","-3.88%"
"Apr 18, 2020","187.87","171.28","189.84","171.21","114.92K","9.69%"
"Apr 17, 2020","171.27","172.54","175.23","168.89","82.15K","-0.74%"
"Apr 16, 2020","172.54","153.00","175.29","148.64","195.43K","12.77%"
"Apr 15, 2020","153.00","158.55","161.39","152.37","60.34K","-3.49%"
"Apr 14, 2020","158.54","156.64","161.94","155.43","69.66K","1.14%"
"Apr 13, 2020","156.75","158.91","159.25","149.58","109.62K","-1.26%"
"Apr 12, 2020","158.75","158.70","165.37","155.43","78.69K","0.03%"
"Apr 11, 2020","158.70","158.10","161.50","154.37","61.84K","0.37%"
"Apr 10, 2020","158.11","170.01","170.20","152.62","544.02K","-7.00%"
"Apr 09, 2020","170.01","173.30","173.67","165.21","67.54K","-1.82%"
"Apr 08, 2020","173.16","164.90","174.60","163.78","90.25K","5.01%"
"Apr 07, 2020","164.90","171.52","176.00","162.42","169.23K","-3.85%"
"Apr 06, 2020","171.50","142.95","172.02","142.94","201.64K","19.95%"
"Apr 05, 2020","142.98","144.54","146.05","140.83","38.89K","-1.07%"
"Apr 04, 2020","144.53","141.59","146.56","139.27","46.46K","2.08%"
"Apr 03, 2020","141.58","141.80","147.00","138.01","58.04K","-0.16%"
"Apr 02, 2020","141.80","136.55","150.31","135.89","154.67K","3.84%"
"Apr 01, 2020","136.55","133.20","137.49","129.25","62.46K","2.58%"
"Mar 31, 2020","133.12","132.32","135.45","130.63","33.04K","0.66%"
"Mar 30, 2020","132.25","124.79","135.42","124.52","85.23K","6.03%"
"Mar 29, 2020","124.73","131.24","132.19","124.08","82.25K","-4.87%"
"Mar 28, 2020","131.11","130.99","133.26","125.14","102.00K","0.11%"
"Mar 27, 2020","130.97","138.93","141.92","129.71","85.36K","-5.60%"
"Mar 26, 2020","138.74","136.16","139.89","133.61","50.65K","1.90%"
"Mar 25, 2020","136.16","138.56","142.73","132.37","81.03K","-1.93%"
"Mar 24, 2020","138.84","136.45","143.70","133.09","110.67K","1.73%"
"Mar 23, 2020","136.48","122.29","138.23","119.60","168.10K","11.42%"
"Mar 22, 2020","122.49","132.84","137.21","121.03","119.17K","-7.79%"
"Mar 21, 2020","132.84","133.58","137.66","126.04","113.66K","-0.45%"
"Mar 20, 2020","133.44","136.67","152.74","116.05","354.80K","-2.24%"
"Mar 19, 2020","136.50","118.72","143.28","115.77","325.10K","15.05%"
"Mar 18, 2020","118.64","116.30","118.96","110.47","104.12K","1.99%"
"Mar 17, 2020","116.32","111.76","122.00","110.00","125.76K","4.08%"
"Mar 16, 2020","111.76","124.25","124.48","101.20","336.05K","-10.05%"
"Mar 15, 2020","124.24","123.38","134.35","121.05","153.04K","0.57%"
"Mar 14, 2020","123.54","135.23","135.54","121.77","138.84K","-8.63%"
"Mar 13, 2020","135.21","109.57","144.16","90.00","900.95K","23.45%"
"Mar 12, 2020","109.53","195.58","196.53","103.04","1.63M","-44.00%"
"Mar 11, 2020","195.60","201.29","203.66","183.00","151.05K","-2.75%"
