"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","0.18342","0.18158","0.18617","0.18125","5.31M","1.01%"
"Apr 20, 2020","0.18158","0.18896","0.19448","0.17819","4.96M","-3.90%"
"Apr 19, 2020","0.18896","0.19482","0.19632","0.18790","3.01M","-3.01%"
"Apr 18, 2020","0.19482","0.18859","0.19700","0.18848","4.43M","3.30%"
"Apr 17, 2020","0.18859","0.19044","0.19165","0.18602","5.24M","-0.97%"
"Apr 16, 2020","0.19044","0.18052","0.19299","0.17428","6.44M","5.49%"
"Apr 15, 2020","0.18052","0.18585","0.18963","0.18000","2.48M","-2.86%"
"Apr 14, 2020","0.18585","0.18778","0.18898","0.18339","2.03M","-1.03%"
"Apr 13, 2020","0.18778","0.18964","0.18964","0.18010","3.48M","-0.98%"
"Apr 12, 2020","0.18964","0.18852","0.19583","0.18621","3.41M","0.59%"
"Apr 11, 2020","0.18852","0.18747","0.19200","0.18514","1.75M","0.56%"
"Apr 10, 2020","0.18747","0.19840","0.19850","0.18145","4.53M","-5.51%"
"Apr 09, 2020","0.19840","0.20183","0.20230","0.19422","1.91M","-1.70%"
"Apr 08, 2020","0.20183","0.19313","0.20270","0.19185","2.95M","4.51%"
"Apr 07, 2020","0.19313","0.19812","0.20521","0.19000","5.82M","-2.52%"
"Apr 06, 2020","0.19812","0.17928","0.19820","0.17928","5.65M","10.51%"
"Apr 05, 2020","0.17928","0.18112","0.18181","0.17665","1.31M","-1.01%"
"Apr 04, 2020","0.18112","0.17943","0.18336","0.17791","1.64M","0.94%"
"Apr 03, 2020","0.17943","0.17852","0.18285","0.17590","4.43M","0.51%"
"Apr 02, 2020","0.17852","0.17512","0.18600","0.17388","6.56M","1.94%"
"Apr 01, 2020","0.17512","0.17376","0.17652","0.16800","4.62M","0.78%"
"Mar 31, 2020","0.17376","0.17100","0.17788","0.17042","3.81M","1.61%"
"Mar 30, 2020","0.17100","0.16331","0.17510","0.16255","2.08M","4.71%"
"Mar 29, 2020","0.16331","0.17560","0.17649","0.16205","4.99M","-7.00%"
"Mar 28, 2020","0.17560","0.17300","0.17987","0.16662","9.57M","1.50%"
"Mar 27, 2020","0.17300","0.17650","0.18743","0.16946","9.39M","-1.98%"
"Mar 26, 2020","0.17650","0.16160","0.17734","0.15992","3.35M","9.22%"
"Mar 25, 2020","0.16160","0.16209","0.16500","0.15611","2.32M","-0.31%"
"Mar 24, 2020","0.16209","0.15885","0.16373","0.15688","4.24M","2.04%"
"Mar 23, 2020","0.15885","0.14781","0.16144","0.14485","6.38M","7.47%"
"Mar 22, 2020","0.14781","0.15789","0.16178","0.14649","5.81M","-6.39%"
"Mar 21, 2020","0.15789","0.15685","0.16177","0.15183","7.51M","0.66%"
"Mar 20, 2020","0.15685","0.16450","0.17500","0.14250","13.22M","-4.65%"
"Mar 19, 2020","0.16450","0.14680","0.17250","0.14450","8.12M","12.06%"
"Mar 18, 2020","0.14680","0.14735","0.14944","0.14025","6.06M","-0.38%"
"Mar 17, 2020","0.14735","0.14082","0.15213","0.13990","8.85M","4.64%"
"Mar 16, 2020","0.14082","0.15335","0.15351","0.12866","14.29M","-8.17%"
