"Date","Price","Open","High","Low","Change %"
"Apr 21, 2020","0.1411","0.1414","0.1414","0.1410","-0.22%"
"Apr 20, 2020","0.1414","0.1412","0.1415","0.1412","0.00%"
"Apr 19, 2020","0.1414","0.1414","0.1414","0.1414","0.00%"
"Apr 17, 2020","0.1414","0.1415","0.1415","0.1412","0.10%"
"Apr 16, 2020","0.1412","0.1414","0.1415","0.1412","-0.17%"
"Apr 15, 2020","0.1415","0.1419","0.1419","0.1415","-0.27%"
"Apr 14, 2020","0.1419","0.1418","0.1420","0.1416","0.06%"
"Apr 13, 2020","0.1418","0.1421","0.1421","0.1417","-0.24%"
"Apr 10, 2020","0.1421","0.1419","0.1423","0.1419","0.10%"
"Apr 09, 2020","0.1420","0.1416","0.1422","0.1414","0.32%"
"Apr 08, 2020","0.1415","0.1416","0.1417","0.1414","-0.29%"
"Apr 07, 2020","0.1419","0.1410","0.1420","0.1410","0.67%"
"Apr 06, 2020","0.1410","0.1410","0.1410","0.1410","0.00%"
"Apr 03, 2020","0.1410","0.1411","0.1412","0.1409","-0.12%"
"Apr 02, 2020","0.1412","0.1405","0.1412","0.1403","0.23%"
"Apr 01, 2020","0.1408","0.1412","0.1412","0.1407","-0.25%"
"Mar 31, 2020","0.1412","0.1409","0.1412","0.1408","0.25%"
"Mar 30, 2020","0.1408","0.1409","0.1411","0.1407","-0.06%"
"Mar 27, 2020","0.1409","0.1416","0.1417","0.1408","-0.32%"
"Mar 26, 2020","0.1414","0.1409","0.1415","0.1404","0.58%"
"Mar 25, 2020","0.1406","0.1416","0.1419","0.1405","-0.73%"
"Mar 24, 2020","0.1416","0.1411","0.1417","0.1410","0.42%"
"Mar 23, 2020","0.1410","0.1409","0.1413","0.1404","0.05%"
"Mar 20, 2020","0.1409","0.1407","0.1418","0.1407","0.17%"
"Mar 19, 2020","0.1407","0.1419","0.1419","0.1403","-0.86%"
"Mar 18, 2020","0.1419","0.1424","0.1427","0.1418","-0.56%"
"Mar 17, 2020","0.1427","0.1430","0.1431","0.1423","-0.21%"
"Mar 16, 2020","0.1430","0.1427","0.1430","0.1423","0.21%"
"Mar 13, 2020","0.1427","0.1423","0.1434","0.1422","0.35%"
"Mar 12, 2020","0.1422","0.1437","0.1437","0.1421","-1.04%"
"Mar 11, 2020","0.1437","0.1436","0.1440","0.1435","0.00%"
"Mar 10, 2020","0.1437","0.1442","0.1444","0.1436","-0.14%"
"Mar 09, 2020","0.1439","0.1447","0.1447","0.1437","-0.21%"
"Mar 06, 2020","0.1442","0.1441","0.1444","0.1436","0.00%"
"Mar 05, 2020","0.1442","0.1442","0.1442","0.1439","-0.14%"
"Mar 04, 2020","0.1444","0.1441","0.1444","0.1439","0.56%"
"Mar 03, 2020","0.1436","0.1436","0.1436","0.1431","0.00%"
"Mar 02, 2020","0.1436","0.1434","0.1439","0.1434","0.42%"
"Feb 28, 2020","0.1430","0.1428","0.1432","0.1426","0.21%"
"Feb 27, 2020","0.1427","0.1426","0.1429","0.1424","0.21%"
"Feb 26, 2020","0.1424","0.1425","0.1425","0.1423","-0.14%"
"Feb 25, 2020","0.1426","0.1426","0.1427","0.1424","0.28%"
"Feb 24, 2020","0.1422","0.1421","0.1424","0.1421","-0.07%"
"Feb 21, 2020","0.1423","0.1422","0.1423","0.1420","-0.07%"
"Feb 20, 2020","0.1424","0.1427","0.1428","0.1423","-0.35%"
"Feb 19, 2020","0.1429","0.1427","0.1431","0.1426","0.00%"
"Feb 18, 2020","0.1429","0.1431","0.1431","0.1427","-0.21%"
"Feb 17, 2020","0.1432","0.1432","0.1434","0.1431","0.07%"
"Feb 14, 2020","0.1431","0.1432","0.1433","0.1431","-0.21%"
"Feb 13, 2020","0.1434","0.1432","0.1434","0.1431","0.00%"
"Feb 12, 2020","0.1434","0.1434","0.1437","0.1434","-0.14%"
"Feb 11, 2020","0.1436","0.1431","0.1436","0.1431","0.35%"
"Feb 10, 2020","0.1431","0.1429","0.1434","0.1429","0.14%"
"Feb 07, 2020","0.1429","0.1434","0.1434","0.1427","-0.35%"
"Feb 06, 2020","0.1434","0.1434","0.1437","0.1432","0.00%"
"Feb 05, 2020","0.1434","0.1427","0.1434","0.1427","0.35%"
"Feb 04, 2020","0.1429","0.1422","0.1431","0.1422","0.35%"
"Feb 03, 2020","0.1424","0.1442","0.1442","0.1422","-1.25%"
