"Date","Price","Open","High","Low","Change %"
"Apr 21, 2020","1.0836","1.0864","1.0866","1.0826","-0.24%"
"Apr 20, 2020","1.0863","1.0875","1.0898","1.0841","-0.01%"
"Apr 19, 2020","1.0864","1.0865","1.0878","1.0863","-0.13%"
"Apr 17, 2020","1.0878","1.0835","1.0893","1.0812","0.38%"
"Apr 16, 2020","1.0837","1.0911","1.0913","1.0817","-0.66%"
"Apr 15, 2020","1.0909","1.0980","1.0991","1.0856","-0.66%"
"Apr 14, 2020","1.0981","1.0914","1.0988","1.0904","0.60%"
"Apr 13, 2020","1.0915","1.0941","1.0969","1.0892","-0.19%"
"Apr 10, 2020","1.0936","1.0930","1.0953","1.0919","0.06%"
"Apr 09, 2020","1.0929","1.0857","1.0953","1.0841","0.65%"
"Apr 08, 2020","1.0858","1.0891","1.0904","1.0829","-0.30%"
"Apr 07, 2020","1.0891","1.0793","1.0926","1.0783","0.91%"
"Apr 06, 2020","1.0793","1.0813","1.0835","1.0768","-0.15%"
"Apr 03, 2020","1.0809","1.0858","1.0865","1.0773","-0.45%"
"Apr 02, 2020","1.0858","1.0964","1.0970","1.0820","-0.97%"
"Apr 01, 2020","1.0964","1.1031","1.1040","1.0903","-0.61%"
"Mar 31, 2020","1.1031","1.1049","1.1056","1.0926","-0.15%"
"Mar 30, 2020","1.1048","1.1136","1.1145","1.1010","-0.84%"
"Mar 27, 2020","1.1142","1.1030","1.1148","1.0953","1.02%"
"Mar 26, 2020","1.1030","1.0881","1.1059","1.0869","1.36%"
"Mar 25, 2020","1.0882","1.0789","1.0895","1.0761","0.86%"
"Mar 24, 2020","1.0789","1.0726","1.0889","1.0722","0.62%"
"Mar 23, 2020","1.0723","1.0696","1.0828","1.0637","0.26%"
"Mar 20, 2020","1.0695","1.0691","1.0832","1.0637","0.03%"
"Mar 19, 2020","1.0691","1.0915","1.0982","1.0654","-2.30%"
"Mar 18, 2020","1.0943","1.1016","1.1045","1.0802","-0.49%"
"Mar 17, 2020","1.0997","1.1182","1.1189","1.0954","-1.66%"
"Mar 16, 2020","1.1183","1.1085","1.1238","1.1046","0.69%"
"Mar 13, 2020","1.1106","1.1184","1.1222","1.1055","-0.71%"
"Mar 12, 2020","1.1185","1.1269","1.1335","1.1056","-0.75%"
"Mar 11, 2020","1.1269","1.1281","1.1368","1.1258","-0.10%"
"Mar 10, 2020","1.1280","1.1446","1.1459","1.1274","-1.48%"
"Mar 09, 2020","1.1449","1.1293","1.1494","1.1284","1.44%"
"Mar 06, 2020","1.1286","1.1237","1.1355","1.1211","0.40%"
"Mar 05, 2020","1.1241","1.1136","1.1246","1.1120","0.94%"
"Mar 04, 2020","1.1136","1.1172","1.1188","1.1095","-0.33%"
"Mar 03, 2020","1.1173","1.1133","1.1214","1.1095","0.35%"
"Mar 02, 2020","1.1134","1.1003","1.1187","1.1003","0.98%"
