"Date","Price","Open","High","Low","Change %"
"Apr 21, 2020","0.2277","0.2278","0.2282","0.2277","-0.40%"
"Apr 20, 2020","0.2286","0.2286","0.2288","0.2277","-0.10%"
"Apr 19, 2020","0.2288","0.2286","0.2288","0.2286","0.00%"
"Apr 17, 2020","0.2288","0.2291","0.2299","0.2284","0.10%"
"Apr 16, 2020","0.2286","0.2303","0.2303","0.2285","-0.79%"
"Apr 15, 2020","0.2304","0.2310","0.2312","0.2302","-0.17%"
"Apr 14, 2020","0.2308","0.2315","0.2315","0.2306","-0.09%"
"Apr 13, 2020","0.2310","0.2321","0.2321","0.2310","-0.43%"
"Apr 10, 2020","0.2320","0.2312","0.2323","0.2311","0.52%"
"Apr 09, 2020","0.2308","0.2301","0.2309","0.2301","0.35%"
"Apr 08, 2020","0.2300","0.2301","0.2307","0.2291","-0.23%"
"Apr 07, 2020","0.2305","0.2296","0.2307","0.2296","0.60%"
"Apr 06, 2020","0.2292","0.2286","0.2294","0.2283","-0.12%"
"Apr 03, 2020","0.2294","0.2294","0.2303","0.2287","0.00%"
"Apr 02, 2020","0.2295","0.2292","0.2299","0.2278","0.00%"
"Apr 01, 2020","0.2295","0.2319","0.2334","0.2294","-0.96%"
"Mar 31, 2020","0.2317","0.2308","0.2328","0.2308","0.40%"
"Mar 30, 2020","0.2308","0.2314","0.2319","0.2290","-0.12%"
"Mar 27, 2020","0.2311","0.2320","0.2356","0.2301","0.17%"
"Mar 26, 2020","0.2307","0.2275","0.2320","0.2271","1.26%"
"Mar 25, 2020","0.2278","0.2263","0.2280","0.2255","0.93%"
"Mar 24, 2020","0.2257","0.2250","0.2261","0.2250","0.33%"
"Mar 23, 2020","0.2250","0.2257","0.2275","0.2249","-0.30%"
"Mar 20, 2020","0.2257","0.2269","0.2286","0.2257","-0.37%"
"Mar 19, 2020","0.2265","0.2286","0.2286","0.2265","-0.92%"
"Mar 18, 2020","0.2286","0.2294","0.2294","0.2286","-0.52%"
"Mar 17, 2020","0.2298","0.2321","0.2321","0.2298","-0.99%"
"Mar 16, 2020","0.2321","0.2335","0.2337","0.2320","-0.68%"
"Mar 13, 2020","0.2337","0.2333","0.2337","0.2328","-0.17%"
"Mar 12, 2020","0.2341","0.2354","0.2354","0.2336","-0.76%"
"Mar 11, 2020","0.2359","0.2361","0.2364","0.2354","0.13%"
"Mar 10, 2020","0.2356","0.2371","0.2371","0.2356","-0.59%"
"Mar 09, 2020","0.2370","0.2393","0.2396","0.2368","-1.13%"
"Mar 06, 2020","0.2397","0.2403","0.2403","0.2388","-0.25%"
"Mar 05, 2020","0.2403","0.2393","0.2404","0.2393","0.46%"
"Mar 04, 2020","0.2392","0.2383","0.2393","0.2383","0.25%"
"Mar 03, 2020","0.2386","0.2381","0.2386","0.2377","0.29%"
"Mar 02, 2020","0.2379","0.2374","0.2382","0.2366","0.21%"
"Feb 28, 2020","0.2374","0.2374","0.2376","0.2362","-0.04%"
"Feb 27, 2020","0.2375","0.2362","0.2379","0.2362","0.38%"
"Feb 26, 2020","0.2366","0.2362","0.2371","0.2356","0.21%"
"Feb 25, 2020","0.2361","0.2366","0.2374","0.2361","-0.34%"
"Feb 24, 2020","0.2369","0.2382","0.2391","0.2366","-0.75%"
"Feb 21, 2020","0.2387","0.2391","0.2392","0.2382","-0.17%"
"Feb 20, 2020","0.2391","0.2402","0.2402","0.2389","-0.42%"
"Feb 19, 2020","0.2401","0.2412","0.2412","0.2401","-0.25%"
"Feb 18, 2020","0.2407","0.2412","0.2412","0.2407","-0.21%"
"Feb 17, 2020","0.2412","0.2417","0.2417","0.2412","-0.08%"
"Feb 14, 2020","0.2414","0.2417","0.2417","0.2410","0.00%"
"Feb 13, 2020","0.2414","0.2417","0.2417","0.2412","-0.12%"
"Feb 12, 2020","0.2417","0.2419","0.2427","0.2415","-0.12%"
"Feb 11, 2020","0.2420","0.2410","0.2420","0.2410","0.41%"
"Feb 10, 2020","0.2410","0.2414","0.2417","0.2409","-0.17%"
"Feb 07, 2020","0.2414","0.2424","0.2427","0.2414","-0.45%"
"Feb 06, 2020","0.2425","0.2427","0.2429","0.2424","-0.08%"
"Feb 05, 2020","0.2427","0.2433","0.2433","0.2422","-0.29%"
"Feb 04, 2020","0.2434","0.2429","0.2434","0.2425","0.21%"
