"Date","Price","Open","High","Low","Change %"
"Apr 21, 2020","4.3923","4.3900","4.3923","4.3825","0.41%"
"Apr 20, 2020","4.3745","4.3740","4.3920","4.3700","0.10%"
"Apr 19, 2020","4.3700","4.3740","4.3740","4.3700","0.00%"
"Apr 17, 2020","4.3700","4.3650","4.3790","4.3500","-0.10%"
"Apr 16, 2020","4.3745","4.3430","4.3765","4.3415","0.79%"
"Apr 15, 2020","4.3400","4.3285","4.3445","4.3250","0.17%"
"Apr 14, 2020","4.3325","4.3200","4.3360","4.3200","0.09%"
"Apr 13, 2020","4.3285","4.3080","4.3285","4.3080","0.43%"
"Apr 10, 2020","4.3100","4.3250","4.3275","4.3050","-0.52%"
"Apr 09, 2020","4.3325","4.3450","4.3450","4.3315","-0.35%"
"Apr 08, 2020","4.3475","4.3450","4.3650","4.3345","0.23%"
"Apr 07, 2020","4.3375","4.3550","4.3550","4.3345","-0.60%"
"Apr 06, 2020","4.3635","4.3750","4.3797","4.3600","0.11%"
"Apr 03, 2020","4.3585","4.3600","4.3725","4.3420","0.02%"
"Apr 02, 2020","4.3575","4.3625","4.3900","4.3495","0.00%"
"Apr 01, 2020","4.3575","4.3125","4.3600","4.2850","0.97%"
"Mar 31, 2020","4.3155","4.3325","4.3335","4.2950","-0.39%"
"Mar 30, 2020","4.3325","4.3225","4.3675","4.3120","0.12%"
"Mar 27, 2020","4.3275","4.3100","4.3450","4.2450","-0.17%"
"Mar 26, 2020","4.3350","4.3950","4.4025","4.3100","-1.24%"
"Mar 25, 2020","4.3895","4.4190","4.4350","4.3850","-0.93%"
"Mar 24, 2020","4.4305","4.4450","4.4450","4.4225","-0.33%"
"Mar 23, 2020","4.4450","4.4314","4.4455","4.3950","0.31%"
"Mar 20, 2020","4.4314","4.4080","4.4314","4.3750","0.37%"
"Mar 19, 2020","4.4150","4.3740","4.4150","4.3740","0.95%"
"Mar 18, 2020","4.3735","4.3565","4.3735","4.3545","0.53%"
"Mar 17, 2020","4.3505","4.3075","4.3505","4.3075","0.97%"
"Mar 16, 2020","4.3085","4.2815","4.3095","4.2785","0.70%"
"Mar 13, 2020","4.2785","4.2815","4.2945","4.2765","0.14%"
"Mar 12, 2020","4.2725","4.2475","4.2805","4.2425","0.78%"
"Mar 11, 2020","4.2395","4.2325","4.2495","4.2295","-0.12%"
"Mar 10, 2020","4.2445","4.2175","4.2445","4.2175","0.59%"
"Mar 09, 2020","4.2195","4.1725","4.2216","4.1725","1.15%"
"Mar 06, 2020","4.1715","4.1615","4.1865","4.1615","0.24%"
