"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2020","276.93","277.70","281.63","276.93","32.50M","-2.08%"
"Apr 17, 2020","282.80","285.10","286.88","276.90","53.81M","-1.36%"
"Apr 16, 2020","286.69","287.52","288.13","282.37","39.28M","0.79%"
"Apr 15, 2020","284.43","282.33","286.29","280.65","32.79M","-0.91%"
"Apr 14, 2020","287.05","280.11","288.00","278.34","48.75M","5.05%"
"Apr 13, 2020","273.25","268.27","273.44","265.88","32.76M","1.96%"
"Apr 09, 2020","267.99","269.32","270.02","264.76","40.53M","0.72%"
"Apr 08, 2020","266.07","263.29","267.32","261.27","42.22M","2.56%"
"Apr 07, 2020","259.43","270.80","271.08","259.02","50.72M","-1.16%"
"Apr 06, 2020","262.47","251.31","263.04","249.47","50.46M","8.72%"
"Apr 03, 2020","241.41","242.62","245.68","238.98","32.47M","-1.44%"
"Apr 02, 2020","244.93","240.20","245.00","236.94","41.48M","1.67%"
"Apr 01, 2020","240.91","246.21","248.65","239.14","44.05M","-5.26%"
"Mar 31, 2020","254.29","255.48","262.48","252.03","49.25M","-0.20%"
"Mar 30, 2020","254.81","250.74","255.52","249.40","41.99M","2.85%"
"Mar 27, 2020","247.74","252.14","255.85","247.21","51.05M","-4.14%"
"Mar 26, 2020","258.44","246.70","258.44","246.50","63.14M","5.26%"
"Mar 25, 2020","245.52","250.80","257.94","244.33","75.90M","-0.55%"
"Mar 24, 2020","246.88","237.00","246.88","234.42","71.88M","10.03%"
"Mar 23, 2020","224.37","228.08","228.50","212.61","84.19M","-2.12%"
"Mar 20, 2020","229.24","247.18","251.83","228.00","100.42M","-6.35%"
"Mar 19, 2020","244.78","247.02","252.59","242.66","67.96M","-0.77%"
"Mar 18, 2020","246.67","240.19","249.91","237.12","75.06M","-2.45%"
"Mar 17, 2020","252.86","247.51","257.61","238.40","81.01M","4.40%"
"Mar 16, 2020","242.21","241.95","259.08","240.00","80.61M","-12.86%"
"Mar 13, 2020","277.97","264.89","279.92","252.95","92.68M","11.98%"
"Mar 12, 2020","248.23","255.94","270.00","248.00","104.62M","-9.88%"
"Mar 11, 2020","275.43","277.39","281.22","271.86","64.09M","-3.47%"
