"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","0.845","0.870","0.905","0.820","120.84M","-2.87%"
"Apr 20, 2020","0.870","0.835","0.895","0.830","172.91M","10.83%"
"Apr 17, 2020","0.785","0.740","0.810","0.740","85.90M","9.03%"
"Apr 16, 2020","0.720","0.710","0.735","0.710","22.00M","0.00%"
"Apr 15, 2020","0.720","0.730","0.745","0.720","23.96M","0.00%"
"Apr 14, 2020","0.720","0.710","0.740","0.710","32.20M","1.41%"
"Apr 13, 2020","0.710","0.720","0.730","0.700","20.11M","-2.07%"
"Apr 10, 2020","0.725","0.740","0.740","0.700","31.79M","-2.03%"
"Apr 09, 2020","0.740","0.790","0.800","0.740","38.00M","-5.73%"
"Apr 08, 2020","0.785","0.805","0.810","0.780","25.68M","-3.68%"
"Apr 07, 2020","0.815","0.830","0.845","0.815","28.65M","0.62%"
"Apr 06, 2020","0.810","0.850","0.850","0.795","39.98M","-2.41%"
"Apr 03, 2020","0.830","0.815","0.865","0.810","64.68M","3.11%"
"Apr 02, 2020","0.805","0.780","0.820","0.775","37.22M","1.90%"
"Apr 01, 2020","0.790","0.780","0.840","0.770","43.42M","0.00%"
"Mar 31, 2020","0.790","0.775","0.790","0.760","28.93M","5.33%"
"Mar 30, 2020","0.750","0.730","0.765","0.710","43.44M","0.00%"
"Mar 27, 2020","0.750","0.720","0.835","0.700","118.00M","2.74%"
"Mar 26, 2020","0.730","0.770","0.780","0.720","48.26M","-1.35%"
"Mar 25, 2020","0.740","0.670","0.800","0.660","102.65M","17.46%"
"Mar 24, 2020","0.630","0.625","0.660","0.625","40.90M","3.28%"
"Mar 23, 2020","0.610","0.600","0.650","0.570","72.92M","-10.29%"
"Mar 20, 2020","0.680","0.520","0.705","0.510","129.12M","30.77%"
"Mar 19, 2020","0.520","0.595","0.610","0.500","48.54M","-14.75%"
"Mar 18, 2020","0.610","0.650","0.650","0.600","30.43M","-2.40%"
"Mar 17, 2020","0.625","0.625","0.665","0.580","74.25M","-10.71%"
"Mar 16, 2020","0.700","0.795","0.795","0.700","49.43M","-14.63%"
"Mar 13, 2020","0.820","0.850","0.865","0.790","49.07M","-7.87%"
"Mar 12, 2020","0.890","0.950","0.955","0.890","30.55M","-8.25%"
"Mar 11, 2020","0.970","0.970","0.995","0.970","15.56M","0.00%"
"Mar 10, 2020","0.970","0.985","1.010","0.965","31.77M","-2.02%"
"Mar 09, 2020","0.990","1.040","1.040","0.990","37.49M","-5.71%"
"Mar 06, 2020","1.050","1.080","1.100","1.050","26.14M","-3.67%"
"Mar 05, 2020","1.090","1.090","1.130","1.080","38.37M","1.87%"
"Mar 04, 2020","1.070","1.020","1.080","1.020","31.09M","4.90%"
"Mar 03, 2020","1.020","1.050","1.060","1.020","33.71M","-0.97%"
"Mar 02, 2020","1.030","1.010","1.060","0.980","51.80M","3.00%"
"Feb 28, 2020","1.000","1.100","1.100","1.000","76.69M","-9.91%"
"Feb 27, 2020","1.110","1.140","1.150","1.110","26.56M","-2.63%"
"Feb 26, 2020","1.140","1.130","1.150","1.120","27.76M","-0.87%"
"Feb 25, 2020","1.150","1.100","1.160","1.100","32.35M","4.55%"
"Feb 24, 2020","1.100","1.130","1.150","1.100","57.56M","-5.17%"
"Feb 21, 2020","1.160","1.190","1.190","1.160","14.26M","-2.52%"
"Feb 20, 2020","1.190","1.160","1.190","1.160","30.04M","3.48%"
"Feb 19, 2020","1.150","1.180","1.180","1.150","31.52M","-3.36%"
"Feb 18, 2020","1.190","1.190","1.190","1.160","36.33M","0.00%"
"Feb 17, 2020","1.190","1.220","1.230","1.180","20.57M","-0.83%"
"Feb 14, 2020","1.200","1.190","1.230","1.170","47.94M","2.56%"
"Feb 13, 2020","1.170","1.190","1.200","1.160","30.61M","-2.50%"
"Feb 12, 2020","1.200","1.230","1.230","1.160","76.17M","-2.44%"
"Feb 11, 2020","1.230","1.260","1.270","1.230","41.92M","-2.38%"
"Feb 10, 2020","1.260","1.260","1.280","1.230","56.33M","-3.82%"
"Feb 07, 2020","1.310","1.240","1.310","1.230","106.11M","6.50%"
"Feb 06, 2020","1.230","1.190","1.260","1.170","133.23M","6.03%"
"Feb 05, 2020","1.160","1.150","1.240","1.120","192.53M","0.87%"
"Feb 04, 2020","1.150","1.260","1.260","1.120","134.84M","-10.16%"
"Feb 03, 2020","1.280","1.350","1.350","1.270","57.67M","-10.49%"
"Jan 31, 2020","1.430","1.450","1.450","1.400","20.42M","-0.69%"
"Jan 30, 2020","1.440","1.500","1.500","1.440","13.74M","-2.70%"
"Jan 29, 2020","1.480","1.510","1.520","1.470","11.02M","-1.33%"
"Jan 28, 2020","1.500","1.500","1.520","1.400","25.63M","-3.85%"
"Jan 24, 2020","1.560","1.610","1.620","1.540","8.82M","-3.11%"
"Jan 23, 2020","1.610","1.620","1.620","1.600","7.63M","0.00%"
"Jan 22, 2020","1.610","1.630","1.640","1.610","7.42M","-1.23%"
"Jan 21, 2020","1.630","1.650","1.650","1.620","6.78M","0.00%"
"Jan 20, 2020","1.630","1.660","1.660","1.630","5.66M","-1.21%"
"Jan 17, 2020","1.650","1.680","1.680","1.640","8.82M","-1.79%"
"Jan 16, 2020","1.680","1.670","1.680","1.660","2.58M","1.20%"
"Jan 15, 2020","1.660","1.680","1.690","1.660","3.31M","-1.19%"
"Jan 14, 2020","1.680","1.720","1.720","1.680","4.07M","-2.33%"
"Jan 13, 2020","1.720","1.730","1.730","1.690","5.81M","0.58%"
"Jan 10, 2020","1.710","1.720","1.720","1.680","4.07M","1.18%"
"Jan 09, 2020","1.690","1.650","1.700","1.640","5.43M","3.05%"
"Jan 08, 2020","1.640","1.650","1.660","1.630","8.89M","-1.20%"
"Jan 07, 2020","1.660","1.680","1.680","1.660","3.37M","-1.19%"
"Jan 06, 2020","1.680","1.690","1.690","1.660","6.06M","-0.59%"
"Jan 03, 2020","1.690","1.690","1.720","1.690","8.14M","0.00%"
"Jan 02, 2020","1.690","1.710","1.710","1.690","4.17M","-0.59%"
"Dec 31, 2019","1.700","1.700","1.720","1.700","3.18M","0.00%"
"Dec 30, 2019","1.700","1.720","1.730","1.700","5.54M","-0.58%"
"Dec 27, 2019","1.710","1.720","1.730","1.700","3.43M","-0.58%"
"Dec 26, 2019","1.720","1.710","1.730","1.700","1.44M","0.00%"
"Dec 24, 2019","1.720","1.730","1.730","1.700","3.64M","-1.15%"
"Dec 23, 2019","1.740","1.740","1.750","1.720","5.87M","1.16%"
"Dec 20, 2019","1.720","1.750","1.750","1.700","6.77M","-1.71%"
"Dec 19, 2019","1.750","1.800","1.800","1.750","6.27M","-1.69%"
"Dec 18, 2019","1.780","1.760","1.790","1.740","8.48M","1.71%"
"Dec 17, 2019","1.750","1.700","1.780","1.690","15.01M","3.55%"
"Dec 16, 2019","1.690","1.670","1.720","1.650","8.76M","2.42%"
"Dec 13, 2019","1.650","1.650","1.670","1.640","9.39M","0.00%"
"Dec 12, 2019","1.650","1.670","1.670","1.650","4.40M","-0.60%"
"Dec 11, 2019","1.660","1.660","1.680","1.640","9.43M","0.00%"
