"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","3.74","3.84","3.87","3.72","2.44M","-2.86%"
"Apr 20, 2020","3.85","3.83","3.90","3.82","6.99M","1.05%"
"Apr 17, 2020","3.81","3.72","3.93","3.72","6.31M","2.42%"
"Apr 16, 2020","3.72","3.70","3.76","3.64","9.77M","0.00%"
"Apr 15, 2020","3.72","3.62","3.74","3.61","8.04M","3.05%"
"Apr 14, 2020","3.61","3.60","3.64","3.52","6.69M","0.56%"
"Apr 13, 2020","3.59","3.59","3.61","3.51","4.33M","0.84%"
"Apr 10, 2020","3.56","3.62","3.62","3.52","5.07M","-1.39%"
"Apr 09, 2020","3.61","3.64","3.65","3.58","4.36M","1.69%"
"Apr 08, 2020","3.55","3.47","3.64","3.47","10.41M","2.31%"
"Apr 07, 2020","3.47","3.35","3.55","3.35","13.55M","5.79%"
"Apr 06, 2020","3.28","3.20","3.35","3.19","8.74M","2.50%"
"Apr 03, 2020","3.20","3.21","3.23","3.17","4.24M","-0.31%"
"Apr 02, 2020","3.21","3.18","3.24","3.18","8.37M","0.31%"
"Apr 01, 2020","3.20","3.27","3.28","3.16","9.08M","-2.44%"
"Mar 31, 2020","3.28","3.26","3.32","3.23","20.78M","1.86%"
"Mar 30, 2020","3.22","3.30","3.40","3.13","15.59M","-4.73%"
"Mar 27, 2020","3.38","3.42","3.47","3.37","8.10M","-0.59%"
"Mar 26, 2020","3.40","3.52","3.53","3.35","8.46M","-0.87%"
"Mar 25, 2020","3.43","3.42","3.54","3.37","9.39M","4.89%"
"Mar 24, 2020","3.27","3.12","3.47","3.12","8.66M","4.81%"
"Mar 23, 2020","3.12","3.14","3.15","3.08","7.54M","-2.50%"
"Mar 20, 2020","3.20","3.11","3.27","3.11","21.83M","3.23%"
"Mar 19, 2020","3.10","3.21","3.22","3.01","10.98M","-3.73%"
"Mar 18, 2020","3.22","3.46","3.54","3.18","10.42M","-5.29%"
"Mar 17, 2020","3.40","3.32","3.63","3.32","12.87M","-6.85%"
"Mar 16, 2020","3.65","3.76","3.84","3.56","11.68M","-6.41%"
"Mar 13, 2020","3.90","3.70","3.98","3.48","16.72M","-1.02%"
"Mar 12, 2020","3.94","3.95","3.96","3.93","6.90M","-0.51%"
"Mar 11, 2020","3.96","3.99","4.02","3.94","8.15M","-0.75%"
"Mar 10, 2020","3.99","3.94","4.06","3.94","7.59M","0.25%"
"Mar 09, 2020","3.98","3.97","4.03","3.90","3.78M","-0.50%"
"Mar 06, 2020","4.00","4.07","4.07","3.98","5.79M","-1.23%"
"Mar 05, 2020","4.05","4.05","4.08","4.02","3.69M","0.25%"
"Mar 04, 2020","4.04","4.03","4.09","4.03","2.95M","-0.74%"
"Mar 03, 2020","4.07","4.09","4.11","4.04","3.29M","0.25%"
"Mar 02, 2020","4.06","4.15","4.15","4.01","5.25M","-2.87%"
"Feb 28, 2020","4.18","4.09","4.21","4.09","7.31M","-0.48%"
"Feb 27, 2020","4.20","4.16","4.22","4.11","2.83M","1.20%"
"Feb 26, 2020","4.15","4.15","4.23","4.14","7.15M","-1.43%"
"Feb 25, 2020","4.21","4.11","4.25","4.10","4.83M","1.69%"
"Feb 24, 2020","4.14","4.16","4.23","4.03","11.32M","-2.59%"
"Feb 21, 2020","4.25","4.26","4.37","4.24","3.95M","0.00%"
"Feb 20, 2020","4.25","4.28","4.30","4.23","1.28M","-0.47%"
"Feb 19, 2020","4.27","4.33","4.34","4.25","1.06M","-1.39%"
"Feb 18, 2020","4.33","4.33","4.35","4.32","290.60K","0.00%"
"Feb 17, 2020","4.33","4.33","4.40","4.30","1.81M","-1.59%"
"Feb 14, 2020","4.40","4.35","4.40","4.33","3.20M","0.46%"
"Feb 13, 2020","4.38","4.36","4.38","4.33","2.90M","0.46%"
"Feb 12, 2020","4.36","4.36","4.44","4.32","5.43M","-0.23%"
"Feb 11, 2020","4.37","4.34","4.40","4.31","2.54M","1.63%"
"Feb 10, 2020","4.30","4.39","4.39","4.28","3.55M","-1.15%"
"Feb 07, 2020","4.35","4.32","4.36","4.29","3.54M","-0.68%"
"Feb 06, 2020","4.38","4.37","4.39","4.35","2.93M","0.23%"
"Feb 05, 2020","4.37","4.38","4.43","4.28","6.83M","0.46%"
"Feb 04, 2020","4.35","4.21","4.39","4.21","3.58M","3.57%"
"Feb 03, 2020","4.20","4.25","4.28","4.18","4.38M","-2.33%"
"Jan 31, 2020","4.30","4.26","4.31","4.22","5.53M","0.00%"
"Jan 30, 2020","4.30","4.30","4.33","4.26","4.17M","0.00%"
"Jan 29, 2020","4.30","4.21","4.38","4.19","2.94M","2.38%"
"Jan 28, 2020","4.20","4.20","4.26","4.16","651.30K","-0.71%"
"Jan 24, 2020","4.23","4.24","4.26","4.21","964.80K","-0.70%"
"Jan 23, 2020","4.26","4.27","4.30","4.23","1.12M","0.95%"
