"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","28.36","28.90","29.10","28.00","214.90K","-4.12%"
"Apr 20, 2020","29.58","28.70","29.80","28.66","290.00K","4.89%"
"Apr 17, 2020","28.20","28.00","28.58","28.00","360.40K","1.81%"
"Apr 16, 2020","27.70","27.10","28.40","27.00","519.40K","2.59%"
"Apr 15, 2020","27.00","26.80","28.82","26.70","475.20K","1.50%"
"Apr 14, 2020","26.60","24.96","26.66","24.96","278.90K","7.34%"
"Apr 13, 2020","24.78","24.70","25.22","24.54","106.20K","0.32%"
"Apr 10, 2020","24.70","24.72","24.72","24.40","70.30K","-0.32%"
"Apr 09, 2020","24.78","24.68","24.78","24.36","162.00K","0.00%"
"Apr 08, 2020","24.78","24.60","24.78","24.10","421.30K","0.73%"
"Apr 07, 2020","24.60","24.56","24.70","24.30","330.30K","0.82%"
"Apr 06, 2020","24.40","24.56","24.70","24.12","333.70K","0.33%"
"Apr 03, 2020","24.32","24.70","24.70","24.02","295.40K","-1.62%"
"Apr 02, 2020","24.72","24.10","24.72","24.00","473.40K","-0.16%"
"Apr 01, 2020","24.76","25.00","25.22","24.38","572.40K","-0.96%"
"Mar 31, 2020","25.00","25.26","25.60","24.64","412.50K","0.40%"
"Mar 30, 2020","24.90","24.34","25.10","23.84","575.40K","-2.81%"
"Mar 27, 2020","25.62","25.20","26.40","25.08","709.90K","1.67%"
"Mar 26, 2020","25.20","23.30","25.20","22.00","1.05M","7.23%"
"Mar 25, 2020","23.50","22.30","23.64","22.30","1.10M","9.30%"
"Mar 24, 2020","21.50","20.30","22.00","20.16","752.00K","9.03%"
"Mar 23, 2020","19.72","19.00","20.08","18.98","721.60K","-6.10%"
"Mar 20, 2020","21.00","17.86","21.00","17.86","1.18M","17.45%"
"Mar 19, 2020","17.88","19.20","19.48","17.84","888.90K","-8.21%"
"Mar 18, 2020","19.48","20.50","21.30","18.98","604.20K","-2.31%"
"Mar 17, 2020","19.94","18.50","20.74","17.38","899.70K","0.30%"
"Mar 16, 2020","19.88","22.52","23.40","19.88","967.10K","-12.88%"
"Mar 13, 2020","22.82","23.92","25.00","21.72","1.33M","-7.39%"
"Mar 12, 2020","24.64","27.00","27.10","24.64","959.70K","-11.49%"
"Mar 11, 2020","27.84","27.34","27.98","27.30","605.00K","2.43%"
"Mar 10, 2020","27.18","27.50","28.36","27.16","478.90K","-2.72%"
"Mar 09, 2020","27.94","29.00","29.00","27.80","568.60K","-4.58%"
"Mar 06, 2020","29.28","29.18","29.70","29.10","643.50K","-2.01%"
"Mar 05, 2020","29.88","29.44","30.26","28.90","841.30K","1.98%"
"Mar 04, 2020","29.30","29.60","29.76","28.50","546.80K","-1.01%"
"Mar 03, 2020","29.60","29.64","30.00","28.94","1.47M","2.49%"
"Mar 02, 2020","28.88","30.28","30.28","28.20","2.85M","-9.30%"
"Feb 28, 2020","31.84","33.00","33.00","30.40","14.51M","-5.18%"
"Feb 27, 2020","33.58","35.76","36.10","32.78","1.75M","-6.10%"
"Feb 26, 2020","35.76","36.66","37.16","35.04","1.67M","-3.87%"
"Feb 25, 2020","37.20","34.60","37.28","33.62","3.17M","6.41%"
"Feb 24, 2020","34.96","37.20","38.34","32.70","2.59M","-10.22%"
"Feb 21, 2020","38.94","38.02","39.26","37.90","759.10K","2.37%"
"Feb 20, 2020","38.04","37.02","38.36","37.02","1.26M","1.98%"
"Feb 19, 2020","37.30","36.48","37.48","36.10","1.21M","2.19%"
"Feb 18, 2020","36.50","36.00","36.58","36.00","713.60K","0.83%"
"Feb 17, 2020","36.20","36.80","36.80","35.62","804.40K","0.56%"
"Feb 14, 2020","36.00","36.70","36.86","35.84","1.59M","0.95%"
"Feb 13, 2020","35.66","33.74","37.18","33.74","3.67M","6.77%"
"Feb 12, 2020","33.40","33.68","33.80","33.36","103.00K","-0.83%"
"Feb 11, 2020","33.68","33.32","33.86","33.02","300.60K","2.37%"
"Feb 10, 2020","32.90","33.40","33.60","32.90","196.40K","-1.26%"
"Feb 07, 2020","33.32","33.50","33.60","33.18","320.90K","-0.54%"
"Feb 06, 2020","33.50","33.24","33.58","33.02","174.90K","1.45%"
"Feb 05, 2020","33.02","32.82","33.26","32.50","248.90K","0.61%"
"Feb 04, 2020","32.82","32.12","33.34","32.12","357.60K","0.98%"
"Feb 03, 2020","32.50","32.68","32.86","32.00","394.50K","-0.61%"
"Jan 31, 2020","32.70","32.78","33.26","32.48","503.20K","-0.24%"
"Jan 30, 2020","32.78","32.20","32.92","32.00","469.40K","2.44%"
"Jan 29, 2020","32.00","31.00","32.86","30.90","483.80K","2.83%"
"Jan 28, 2020","31.12","32.00","32.00","31.08","210.40K","-2.75%"
"Jan 24, 2020","32.00","30.38","34.00","30.38","524.60K","4.92%"
"Jan 23, 2020","30.50","30.46","30.50","30.00","219.70K","-0.13%"
"Jan 22, 2020","30.54","29.80","30.80","29.72","198.80K","1.80%"
"Jan 21, 2020","30.00","30.40","30.50","29.90","85.00K","-0.53%"
"Jan 20, 2020","30.16","30.20","30.22","29.80","133.60K","-0.13%"
"Jan 17, 2020","30.20","30.10","30.20","29.82","187.30K","1.21%"
"Jan 16, 2020","29.84","30.00","30.00","29.80","220.00K","-0.53%"
"Jan 15, 2020","30.00","30.12","30.14","29.74","80.30K","-0.33%"
"Jan 14, 2020","30.10","29.70","30.10","29.66","174.80K","1.35%"
"Jan 13, 2020","29.70","30.18","30.18","29.68","108.80K","-1.59%"
"Jan 10, 2020","30.18","30.28","30.30","30.06","103.30K","-0.40%"
"Jan 09, 2020","30.30","30.40","30.54","30.16","247.40K","-0.33%"
"Jan 08, 2020","30.40","30.70","30.70","29.76","317.30K","-0.98%"
"Jan 07, 2020","30.70","30.30","31.00","30.30","387.60K","0.92%"
"Jan 06, 2020","30.42","30.48","30.88","30.18","176.50K","-0.20%"
"Jan 03, 2020","30.48","29.78","30.60","29.70","378.90K","2.70%"
"Jan 02, 2020","29.68","29.00","29.80","29.00","93.10K","0.95%"
"Dec 31, 2019","29.40","29.54","29.74","29.28","98.30K","0.41%"
"Dec 30, 2019","29.28","29.30","29.60","29.28","283.60K","-0.07%"
"Dec 27, 2019","29.30","28.86","29.38","28.72","210.70K","1.52%"
"Dec 26, 2019","28.86","28.50","28.90","28.48","59.80K","1.26%"
"Dec 24, 2019","28.50","28.70","28.70","28.40","48.00K","-0.70%"
"Dec 23, 2019","28.70","28.48","28.78","28.34","77.30K","0.77%"
"Dec 20, 2019","28.48","28.22","28.48","28.14","91.80K","0.92%"
"Dec 19, 2019","28.22","28.00","28.24","28.00","42.80K","0.79%"
"Dec 18, 2019","28.00","27.70","28.00","27.70","173.30K","1.08%"
"Dec 17, 2019","27.70","27.82","27.84","27.66","116.30K","0.00%"
"Dec 16, 2019","27.70","27.82","27.86","27.54","55.70K","0.36%"
"Dec 13, 2019","27.60","27.50","27.70","27.40","126.20K","-0.36%"
"Dec 12, 2019","27.70","27.74","27.80","27.40","142.90K","-0.36%"
"Dec 11, 2019","27.80","27.64","27.80","27.64","89.90K","0.58%"
"Dec 10, 2019","27.64","27.70","27.86","27.64","41.70K","-0.79%"
"Dec 09, 2019","27.86","27.64","28.14","27.64","51.80K","1.02%"
"Dec 06, 2019","27.58","27.74","28.20","27.54","120.10K","-0.58%"
"Dec 05, 2019","27.74","27.76","27.90","27.44","48.50K","-0.14%"
"Dec 04, 2019","27.78","27.78","27.80","27.50","258.50K","-0.07%"
"Dec 03, 2019","27.80","27.08","27.80","27.08","90.80K","1.68%"
"Dec 02, 2019","27.34","27.34","27.40","27.28","31.70K","0.00%"
"Nov 29, 2019","27.34","27.28","27.42","27.26","90.70K","0.29%"
"Nov 28, 2019","27.26","27.80","27.80","27.00","191.70K","-1.59%"
"Nov 27, 2019","27.70","27.30","27.70","27.30","94.00K","2.59%"
"Nov 26, 2019","27.00","27.70","27.78","27.00","199.70K","-1.82%"
"Nov 25, 2019","27.50","28.14","28.22","27.42","98.40K","-1.86%"
"Nov 22, 2019","28.02","28.36","28.36","28.02","8.40K","-0.99%"
"Nov 21, 2019","28.30","28.12","28.46","28.02","180.80K","0.64%"
"Nov 20, 2019","28.12","28.20","28.40","28.02","25.40K","0.07%"
"Nov 19, 2019","28.10","28.10","28.26","28.00","13.00K","-0.64%"
"Nov 18, 2019","28.28","28.20","28.28","28.02","71.10K","0.28%"
"Nov 15, 2019","28.20","28.04","28.50","28.04","71.60K","0.00%"
"Nov 14, 2019","28.20","28.02","28.36","28.00","170.20K","0.36%"
"Nov 13, 2019","28.10","28.00","28.28","28.00","148.70K","-0.50%"
"Nov 12, 2019","28.24","28.28","28.28","27.76","81.80K","-0.14%"
