"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","47.58","48.48","48.48","46.70","6.40K","-1.86%"
"Apr 20, 2020","48.48","46.80","48.48","46.80","16.20K","3.59%"
"Apr 17, 2020","46.80","46.10","46.98","46.10","4.40K","1.74%"
"Apr 16, 2020","46.00","45.08","46.00","45.00","8.70K","2.18%"
"Apr 15, 2020","45.02","44.98","45.20","44.60","7.30K","1.12%"
"Apr 14, 2020","44.52","44.10","44.60","44.10","4.30K","1.18%"
"Apr 13, 2020","44.00","44.00","44.44","44.00","4.70K","-0.68%"
"Apr 10, 2020","44.30","44.18","44.30","44.00","8.60K","0.18%"
"Apr 09, 2020","44.22","44.20","44.22","44.20","1.80K","0.05%"
"Apr 08, 2020","44.20","43.80","44.36","43.80","16.70K","-0.05%"
"Apr 07, 2020","44.22","44.00","44.30","44.00","30.60K","1.66%"
"Apr 06, 2020","43.50","43.00","44.02","43.00","5.90K","1.16%"
"Apr 03, 2020","43.00","43.10","43.12","43.00","1.80K","0.00%"
"Apr 02, 2020","43.00","43.00","43.02","42.22","71.30K","0.00%"
"Apr 01, 2020","43.00","43.00","43.30","42.62","11.80K","-0.69%"
"Mar 31, 2020","43.30","42.50","43.30","41.80","7.60K","3.00%"
"Mar 30, 2020","42.04","42.88","42.88","41.90","3.20K","-1.96%"
"Mar 27, 2020","42.88","42.00","43.02","41.62","23.30K","4.59%"
"Mar 26, 2020","41.00","40.20","41.20","40.20","9.80K","2.40%"
"Mar 25, 2020","40.04","39.44","41.00","39.44","14.50K","2.14%"
"Mar 24, 2020","39.20","37.50","40.02","37.50","6.50K","5.09%"
"Mar 23, 2020","37.30","37.80","37.80","37.12","5.30K","-1.84%"
"Mar 20, 2020","38.00","36.50","38.10","36.50","36.70K","2.70%"
"Mar 19, 2020","37.00","37.20","37.20","35.90","108.50K","-1.07%"
"Mar 18, 2020","37.40","37.60","38.00","37.32","10.40K","-0.53%"
"Mar 17, 2020","37.60","38.00","38.00","34.00","25.60K","-3.59%"
"Mar 16, 2020","39.00","40.08","40.08","35.22","51.00K","-3.23%"
"Mar 13, 2020","40.30","40.18","40.98","39.66","27.30K","0.25%"
