"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","31.24","31.40","31.46","31.16","11.20K","-1.95%"
"Apr 20, 2020","31.86","32.10","32.24","31.70","213.10K","1.08%"
"Apr 17, 2020","31.52","31.40","31.96","31.40","47.30K","0.51%"
"Apr 16, 2020","31.36","31.40","31.72","31.04","125.30K","0.19%"
"Apr 15, 2020","31.30","31.12","31.88","31.12","55.10K","0.97%"
"Apr 14, 2020","31.00","31.40","31.90","31.00","287.70K","0.00%"
"Apr 13, 2020","31.00","31.12","31.50","31.00","27.30K","-1.59%"
"Apr 10, 2020","31.50","31.44","31.50","31.30","24.70K","0.00%"
"Apr 09, 2020","31.50","31.50","31.56","31.44","416.70K","0.19%"
"Apr 08, 2020","31.44","31.44","31.48","31.02","440.80K","0.06%"
"Apr 07, 2020","31.42","31.38","31.42","31.30","375.40K","1.35%"
"Apr 06, 2020","31.00","30.98","31.00","30.22","55.60K","0.00%"
"Apr 03, 2020","31.00","30.80","31.00","30.80","34.20K","0.32%"
"Apr 02, 2020","30.90","30.50","30.90","30.02","490.00K","1.11%"
"Apr 01, 2020","30.56","31.50","31.50","30.14","239.90K","-1.48%"
"Mar 31, 2020","31.02","30.04","31.50","30.04","360.90K","1.64%"
"Mar 30, 2020","30.52","30.08","30.54","28.80","121.60K","1.46%"
"Mar 27, 2020","30.08","30.04","30.08","29.94","193.00K","0.20%"
"Mar 26, 2020","30.02","30.18","31.00","29.70","118.80K","1.08%"
"Mar 25, 2020","29.70","29.74","30.06","29.18","75.30K","-1.00%"
"Mar 24, 2020","30.00","27.72","30.16","27.72","155.90K","7.14%"
"Mar 23, 2020","28.00","29.00","29.00","28.00","194.50K","-6.67%"
"Mar 20, 2020","30.00","28.00","31.00","27.22","383.80K","6.01%"
"Mar 19, 2020","28.30","28.80","28.80","24.12","184.50K","-0.42%"
"Mar 18, 2020","28.42","28.38","28.82","28.20","128.10K","1.50%"
"Mar 17, 2020","28.00","27.00","28.80","25.34","258.90K","1.38%"
"Mar 16, 2020","27.62","28.70","28.72","26.80","435.50K","-3.76%"
"Mar 13, 2020","28.70","29.00","29.00","28.10","260.90K","-3.37%"
"Mar 12, 2020","29.70","29.42","29.98","29.22","152.60K","-0.74%"
"Mar 11, 2020","29.92","29.42","30.06","29.12","205.20K","1.77%"
"Mar 10, 2020","29.40","30.00","30.50","29.32","256.60K","-3.61%"
"Mar 09, 2020","30.50","30.48","30.70","29.70","161.50K","-0.07%"
"Mar 06, 2020","30.52","31.88","31.88","30.52","172.20K","-4.62%"
"Mar 05, 2020","32.00","31.38","32.00","31.38","55.00K","1.91%"
"Mar 04, 2020","31.40","31.02","31.40","30.04","94.50K","1.23%"
"Mar 03, 2020","31.02","31.08","31.54","30.48","108.90K","0.06%"
"Mar 02, 2020","31.00","30.72","31.70","30.50","189.10K","0.91%"
"Feb 28, 2020","30.72","30.38","31.00","30.04","304.80K","-1.85%"
"Feb 27, 2020","31.30","31.76","31.76","30.92","127.90K","0.51%"
"Feb 26, 2020","31.14","30.42","31.34","30.04","183.90K","-0.70%"
"Feb 25, 2020","31.36","30.00","31.68","29.30","151.30K","3.50%"
"Feb 24, 2020","30.30","30.20","30.54","29.64","185.80K","-0.79%"
"Feb 21, 2020","30.54","31.72","32.08","30.22","162.80K","-3.66%"
"Feb 20, 2020","31.70","32.70","33.70","31.48","116.70K","-5.37%"
"Feb 19, 2020","33.50","33.48","33.50","32.36","25.10K","1.70%"
"Feb 18, 2020","32.94","33.00","33.10","32.80","57.60K","-0.90%"
"Feb 17, 2020","33.24","33.30","33.42","33.24","98.80K","-0.78%"
"Feb 14, 2020","33.50","33.50","34.38","33.30","60.70K","-2.62%"
"Feb 13, 2020","34.40","33.58","34.40","33.42","58.20K","1.84%"
"Feb 12, 2020","33.78","33.34","34.00","33.02","206.30K","1.20%"
"Feb 11, 2020","33.38","33.00","33.38","33.00","50.30K","-0.36%"
"Feb 10, 2020","33.50","33.20","33.50","33.12","143.30K","0.90%"
"Feb 07, 2020","33.20","33.08","33.36","33.08","84.70K","0.30%"
