"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2020","135.70","135.31","138.15","134.89","2.53M","-1.89%"
"Apr 17, 2020","138.32","136.67","140.15","136.33","4.75M","4.53%"
"Apr 16, 2020","132.33","134.48","134.95","129.61","4.02M","-1.86%"
"Apr 15, 2020","134.84","137.23","137.81","132.56","3.25M","-4.09%"
"Apr 14, 2020","140.59","140.33","143.60","138.59","3.49M","1.92%"
"Apr 13, 2020","137.94","142.67","142.87","136.61","3.02M","-3.83%"
"Apr 09, 2020","143.43","140.64","146.30","139.75","4.37M","3.00%"
"Apr 08, 2020","139.25","136.70","140.00","135.22","3.89M","2.97%"
"Apr 07, 2020","135.24","140.41","142.22","135.12","4.05M","0.93%"
"Apr 06, 2020","134.00","133.52","135.37","132.51","4.83M","5.14%"
"Apr 03, 2020","127.45","132.50","132.60","126.61","4.03M","-4.04%"
"Apr 02, 2020","132.81","128.65","133.11","127.23","3.50M","2.39%"
"Apr 01, 2020","129.71","128.15","131.26","125.71","4.25M","-3.05%"
"Mar 31, 2020","133.79","131.84","136.11","130.25","5.30M","1.55%"
"Mar 30, 2020","131.75","130.75","133.76","130.13","5.04M","0.37%"
"Mar 27, 2020","131.27","131.29","135.21","128.32","3.92M","-4.46%"
"Mar 26, 2020","137.40","131.88","139.16","131.53","5.59M","5.98%"
"Mar 25, 2020","129.65","120.49","135.33","119.86","7.16M","8.48%"
"Mar 24, 2020","119.51","109.66","119.53","109.66","5.80M","15.07%"
"Mar 23, 2020","103.86","107.49","111.08","101.08","8.20M","-7.68%"
"Mar 20, 2020","112.50","120.89","121.16","110.78","6.80M","-5.43%"
"Mar 19, 2020","118.96","117.75","122.29","112.02","6.81M","-0.54%"
"Mar 18, 2020","119.61","121.19","123.92","101.13","7.63M","-9.25%"
"Mar 17, 2020","131.80","136.23","141.97","130.19","8.52M","-2.57%"
"Mar 16, 2020","135.27","128.00","143.23","124.01","5.89M","-9.46%"
"Mar 13, 2020","149.41","142.15","149.68","138.02","6.32M","10.80%"
"Mar 12, 2020","134.85","143.39","145.48","134.44","7.17M","-12.09%"
"Mar 11, 2020","153.39","156.83","157.48","151.56","4.83M","-5.13%"
"Mar 10, 2020","161.69","155.85","161.94","153.35","5.48M","5.78%"
"Mar 09, 2020","152.86","152.50","157.26","149.74","5.85M","-6.81%"
"Mar 06, 2020","164.03","158.81","165.12","157.58","5.02M","-0.54%"
"Mar 05, 2020","164.92","166.50","167.91","163.22","5.39M","-3.66%"
"Mar 04, 2020","171.19","164.90","171.93","164.26","4.53M","5.74%"
"Mar 03, 2020","161.89","164.28","168.18","160.56","6.11M","-1.43%"
"Mar 02, 2020","164.24","163.09","165.48","157.59","6.74M","1.28%"
"Feb 28, 2020","162.17","153.75","162.17","150.62","9.56M","1.64%"
"Feb 27, 2020","159.55","163.01","166.83","159.52","3.95M","-4.56%"
"Feb 26, 2020","167.18","168.59","172.08","166.77","3.41M","-0.37%"
"Feb 25, 2020","167.80","175.64","176.55","166.83","4.09M","-4.26%"
"Feb 24, 2020","175.27","174.44","177.37","173.46","3.20M","-2.56%"
"Feb 21, 2020","179.88","179.61","180.99","178.75","1.94M","-0.45%"
"Feb 20, 2020","180.70","180.93","182.21","179.01","2.34M","-0.09%"
"Feb 19, 2020","180.86","179.83","181.68","179.50","2.46M","0.80%"
"Feb 18, 2020","179.42","180.10","180.49","178.95","1.82M","-0.77%"
"Feb 14, 2020","180.81","180.51","181.86","179.97","2.49M","0.38%"
"Feb 13, 2020","180.12","180.33","180.95","178.69","1.99M","-0.59%"
"Feb 12, 2020","181.18","179.48","181.64","179.05","2.95M","1.13%"
"Feb 11, 2020","179.15","178.25","179.94","177.20","2.95M","1.24%"
"Feb 10, 2020","176.95","174.92","177.12","174.11","2.40M","0.95%"
"Feb 07, 2020","175.28","175.85","176.72","174.70","3.25M","-0.61%"
