"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2020","139.72","140.79","141.06","139.32","1.81M","-1.56%"
"Apr 17, 2020","141.94","140.98","142.04","137.31","1.95M","1.58%"
"Apr 16, 2020","139.73","138.78","140.56","137.01","1.58M","1.50%"
"Apr 15, 2020","137.67","138.33","140.00","136.74","1.86M","-1.73%"
"Apr 14, 2020","140.09","136.02","140.58","135.40","2.55M","5.56%"
"Apr 13, 2020","132.71","130.80","133.50","130.41","1.86M","0.93%"
"Apr 09, 2020","131.49","131.91","136.33","130.55","2.26M","-0.87%"
"Apr 08, 2020","132.64","132.50","133.36","130.52","1.93M","0.95%"
"Apr 07, 2020","131.39","134.89","135.36","130.94","2.13M","-1.32%"
"Apr 06, 2020","133.15","132.10","134.28","129.75","2.27M","2.49%"
"Apr 03, 2020","129.92","128.05","131.40","127.21","1.40M","0.50%"
"Apr 02, 2020","129.28","124.19","130.25","124.19","2.49M","2.88%"
"Apr 01, 2020","125.66","124.75","126.60","122.80","1.95M","-1.73%"
"Mar 31, 2020","127.87","131.02","131.42","127.28","2.39M","-3.44%"
"Mar 30, 2020","132.43","128.96","132.96","126.36","2.41M","6.04%"
"Mar 27, 2020","124.89","122.00","129.89","121.65","2.29M","0.71%"
"Mar 26, 2020","124.01","116.68","124.63","116.68","3.38M","6.57%"
"Mar 25, 2020","116.36","116.76","121.61","113.62","3.06M","-0.87%"
"Mar 24, 2020","117.38","116.01","118.13","110.70","3.08M","4.49%"
"Mar 23, 2020","112.34","117.97","121.77","111.15","3.54M","-5.02%"
"Mar 20, 2020","118.28","125.86","127.43","117.65","3.87M","-6.43%"
"Mar 19, 2020","126.41","136.52","136.52","123.60","4.36M","-5.91%"
"Mar 18, 2020","134.35","139.26","145.00","132.25","4.33M","-6.75%"
"Mar 17, 2020","144.07","137.42","146.85","133.56","5.32M","6.95%"
"Mar 16, 2020","134.71","122.29","139.68","122.29","4.32M","0.40%"
"Mar 13, 2020","134.18","127.92","134.95","125.23","4.48M","9.70%"
"Mar 12, 2020","122.31","127.08","131.64","121.78","3.82M","-8.83%"
"Mar 11, 2020","134.16","138.00","139.29","131.84","2.99M","-4.86%"
"Mar 10, 2020","141.02","143.42","144.23","134.53","3.86M","-0.21%"
"Mar 09, 2020","141.32","139.60","147.53","138.95","3.69M","-3.51%"
"Mar 06, 2020","146.46","139.14","147.34","138.64","3.38M","2.20%"
"Mar 05, 2020","143.31","144.56","146.98","141.85","2.59M","-3.33%"
"Mar 04, 2020","148.25","143.33","149.10","142.93","3.07M","5.30%"
"Mar 03, 2020","140.79","141.66","143.74","138.21","2.94M","-0.22%"
"Mar 02, 2020","141.10","132.13","141.18","132.13","3.09M","7.55%"
"Feb 28, 2020","131.19","131.11","132.63","126.86","4.07M","-2.10%"
"Feb 27, 2020","134.01","137.65","139.26","133.95","2.80M","-3.07%"
"Feb 26, 2020","138.26","139.25","141.37","137.87","1.70M","-0.52%"
"Feb 25, 2020","138.98","139.95","141.39","138.64","1.39M","-0.81%"
"Feb 24, 2020","140.12","140.73","142.00","139.68","2.67M","-0.87%"
"Feb 21, 2020","141.35","141.64","142.61","141.12","1.56M","-0.58%"
"Feb 20, 2020","142.17","143.37","143.85","141.82","1.36M","-1.11%"
"Feb 19, 2020","143.77","143.88","144.99","143.38","1.05M","-0.05%"
"Feb 18, 2020","143.84","144.97","145.08","143.52","1.38M","-1.18%"
"Feb 14, 2020","145.56","144.88","145.63","144.26","941.42K","0.57%"
"Feb 13, 2020","144.74","144.49","145.59","144.18","1.10M","0.31%"
"Feb 12, 2020","144.29","144.54","145.23","143.90","954.15K","-0.66%"
"Feb 11, 2020","145.25","146.06","146.65","144.86","1.07M","-0.66%"
"Feb 10, 2020","146.21","145.07","146.53","145.01","1.24M","0.96%"
"Feb 07, 2020","144.82","144.73","145.23","144.43","1.01M","0.20%"
"Feb 06, 2020","144.53","145.16","146.08","144.51","1.06M","-0.37%"
"Feb 05, 2020","145.07","143.54","145.09","143.24","1.21M","1.18%"
"Feb 04, 2020","143.38","144.21","145.47","143.11","1.33M","-0.28%"
"Feb 03, 2020","143.78","143.70","144.56","143.14","1.24M","0.38%"
"Jan 31, 2020","143.24","145.15","147.66","143.20","1.71M","-0.96%"
"Jan 30, 2020","144.63","143.39","144.83","142.88","990.28K","1.00%"
"Jan 29, 2020","143.20","144.84","145.17","143.00","1.11M","-1.17%"
"Jan 28, 2020","144.89","144.13","145.46","143.97","1.20M","0.65%"
"Jan 27, 2020","143.96","142.87","145.08","142.11","2.43M","0.38%"
"Jan 24, 2020","143.42","145.51","146.60","143.12","2.11M","-0.85%"
"Jan 23, 2020","144.65","140.11","149.23","138.30","3.70M","0.18%"
"Jan 22, 2020","144.39","144.89","145.81","144.34","2.09M","-0.14%"
"Jan 21, 2020","144.59","144.60","144.84","143.06","1.49M","0.06%"
"Jan 17, 2020","144.50","143.52","144.74","143.41","1.64M","0.75%"
"Jan 16, 2020","143.43","142.46","143.43","142.22","1.61M","0.89%"
"Jan 15, 2020","142.16","141.17","142.45","141.17","1.25M","0.83%"
"Jan 14, 2020","140.99","140.81","141.05","140.16","2.19M","0.06%"
"Jan 13, 2020","140.90","140.27","141.58","140.10","1.22M","0.48%"
"Jan 10, 2020","140.23","139.29","140.78","138.65","1.27M","0.55%"
"Jan 09, 2020","139.46","137.55","139.59","136.92","1.73M","1.58%"
"Jan 08, 2020","137.29","136.35","138.06","135.93","1.74M","0.97%"
"Jan 07, 2020","135.97","135.49","136.73","135.29","1.61M","-0.09%"
"Jan 06, 2020","136.09","135.84","136.48","135.33","1.18M","0.22%"
"Jan 03, 2020","135.79","134.98","136.77","134.62","1.35M","-0.03%"
"Jan 02, 2020","135.83","137.40","137.57","135.01","1.37M","-1.25%"
"Dec 31, 2019","137.55","137.00","137.66","135.96","972.53K","0.48%"
"Dec 30, 2019","136.89","137.79","137.81","136.30","730.23K","-0.85%"
"Dec 27, 2019","138.07","137.50","138.21","137.27","1.12M","0.61%"
"Dec 26, 2019","137.23","137.10","137.79","136.87","889.75K","0.00%"
"Dec 24, 2019","137.23","136.80","137.53","136.46","342.04K","0.19%"
"Dec 23, 2019","136.97","137.81","138.34","136.76","1.31M","-0.75%"
"Dec 20, 2019","138.01","137.37","138.66","136.51","2.43M","0.93%"
"Dec 19, 2019","136.74","135.56","136.80","135.03","1.14M","1.15%"
"Dec 18, 2019","135.19","135.24","136.00","134.62","1.06M","-0.01%"
"Dec 17, 2019","135.21","135.45","135.87","134.59","1.13M","-0.45%"
"Dec 16, 2019","135.82","136.49","137.11","135.73","2.12M","-0.09%"
"Dec 13, 2019","135.94","135.28","136.68","134.90","1.17M","0.01%"
"Dec 12, 2019","135.92","137.18","137.49","135.64","1.01M","-0.72%"
"Dec 11, 2019","136.90","136.14","137.42","136.07","1.32M","0.57%"
"Dec 10, 2019","136.12","136.96","137.21","135.97","976.75K","-0.63%"
"Dec 09, 2019","136.98","137.01","137.29","136.02","1.64M","0.00%"
"Dec 06, 2019","136.98","136.68","138.32","136.68","1.05M","0.34%"
"Dec 05, 2019","136.52","136.22","136.67","135.85","1.69M","-0.71%"
"Dec 04, 2019","137.49","135.53","137.61","135.43","1.50M","1.07%"
"Dec 03, 2019","136.03","136.04","136.72","135.16","1.33M","-0.20%"
"Dec 02, 2019","136.30","136.02","137.26","135.57","1.52M","-0.03%"
"Nov 29, 2019","136.34","136.53","136.76","135.84","1.11M","0.06%"
"Nov 27, 2019","136.26","134.73","136.53","134.39","1.18M","1.26%"
"Nov 26, 2019","134.57","133.74","134.61","133.01","2.00M","0.91%"
"Nov 25, 2019","133.35","134.16","134.19","132.62","1.38M","-0.13%"
