"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","5.35","5.32","5.36","5.27","448.60K","0.56%"
"Apr 20, 2020","5.32","5.46","5.49","5.30","1.40M","-2.56%"
"Apr 17, 2020","5.46","5.46","5.50","5.44","1.50M","0.00%"
"Apr 16, 2020","5.46","5.30","5.50","5.24","4.06M","3.02%"
"Apr 15, 2020","5.30","5.28","5.32","5.24","2.72M","1.15%"
"Apr 14, 2020","5.24","5.32","5.32","5.23","817.70K","-0.95%"
"Apr 13, 2020","5.29","5.17","5.34","5.15","1.75M","2.52%"
"Apr 10, 2020","5.16","5.32","5.33","5.13","879.70K","-2.64%"
"Apr 09, 2020","5.30","5.46","5.48","5.30","1.62M","-3.46%"
"Apr 08, 2020","5.49","5.36","5.49","5.30","1.63M","1.48%"
"Apr 07, 2020","5.41","5.16","5.41","5.16","3.64M","5.66%"
"Apr 06, 2020","5.12","5.19","5.19","5.04","2.26M","-1.35%"
"Apr 03, 2020","5.19","5.10","5.19","5.10","1.85M","1.96%"
"Apr 02, 2020","5.09","5.06","5.16","5.01","3.13M","0.20%"
"Apr 01, 2020","5.08","5.32","5.34","5.06","2.69M","-5.05%"
"Mar 31, 2020","5.35","5.48","5.48","5.31","6.03M","-2.73%"
"Mar 30, 2020","5.50","5.28","5.50","5.24","3.80M","2.42%"
"Mar 27, 2020","5.37","5.35","5.42","5.27","2.73M","0.75%"
"Mar 26, 2020","5.33","5.25","5.42","5.24","2.50M","-0.19%"
"Mar 25, 2020","5.34","5.17","5.37","5.17","2.27M","3.29%"
"Mar 24, 2020","5.17","5.05","5.23","5.05","1.88M","0.39%"
"Mar 23, 2020","5.15","4.90","5.28","4.90","3.73M","-0.96%"
"Mar 20, 2020","5.20","4.68","5.20","4.68","5.92M","11.11%"
"Mar 19, 2020","4.68","4.70","4.78","4.64","2.61M","-1.06%"
"Mar 18, 2020","4.73","4.70","4.79","4.61","5.45M","1.07%"
"Mar 17, 2020","4.68","4.80","5.03","4.59","8.68M","-9.83%"
"Mar 16, 2020","5.19","5.19","5.20","5.08","4.45M","-0.19%"
"Mar 13, 2020","5.20","5.18","5.34","4.88","7.21M","-0.95%"
"Mar 12, 2020","5.25","5.25","5.31","5.20","2.03M","-0.38%"
"Mar 11, 2020","5.27","5.27","5.31","5.21","3.81M","0.38%"
