"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","139.40","141.00","141.00","138.30","6.70K","-1.13%"
"Apr 20, 2020","141.00","139.00","141.20","139.00","88.30K","1.59%"
"Apr 17, 2020","138.80","139.80","141.50","138.80","26.20K","-0.50%"
"Apr 16, 2020","139.50","139.00","147.40","136.20","145.40K","0.36%"
"Apr 15, 2020","139.00","138.00","139.50","137.50","78.10K","1.02%"
"Apr 14, 2020","137.60","136.40","137.60","136.40","52.70K","0.58%"
"Apr 13, 2020","136.80","137.10","137.10","136.20","75.50K","-0.07%"
"Apr 10, 2020","136.90","137.00","137.20","136.60","12.90K","-0.29%"
"Apr 09, 2020","137.30","136.90","137.50","136.20","58.10K","0.22%"
"Apr 08, 2020","137.00","137.60","137.60","136.10","117.70K","-0.44%"
"Apr 07, 2020","137.60","136.80","137.70","136.60","80.90K","0.58%"
"Apr 06, 2020","136.80","136.80","137.50","135.80","42.90K","0.07%"
"Apr 03, 2020","136.70","136.10","137.70","136.00","99.70K","-0.80%"
"Apr 02, 2020","137.80","139.00","139.00","135.50","68.30K","1.25%"
"Apr 01, 2020","136.10","136.70","136.70","136.10","120.80K","-0.44%"
"Mar 31, 2020","136.70","136.10","137.10","136.10","209.70K","0.51%"
"Mar 30, 2020","136.00","136.00","137.80","135.50","85.50K","0.00%"
"Mar 27, 2020","136.00","139.00","139.00","136.00","97.30K","-0.73%"
"Mar 26, 2020","137.00","135.10","139.10","134.90","136.20K","1.11%"
"Mar 25, 2020","135.50","134.40","136.70","134.40","44.90K","0.74%"
"Mar 24, 2020","134.50","134.00","135.60","133.90","66.00K","0.30%"
"Mar 23, 2020","134.10","134.40","137.60","133.90","101.50K","-0.67%"
"Mar 20, 2020","135.00","134.10","140.90","134.10","335.40K","-1.46%"
"Mar 19, 2020","137.00","136.20","137.80","133.90","103.20K","-0.87%"
"Mar 18, 2020","138.20","135.50","138.70","133.40","191.30K","1.99%"
"Mar 17, 2020","135.50","128.60","140.00","120.20","317.20K","1.73%"
"Mar 16, 2020","133.20","132.80","134.70","128.00","251.30K","-1.41%"
"Mar 13, 2020","135.10","136.00","136.20","120.00","307.80K","-2.95%"
"Mar 12, 2020","139.20","140.20","140.20","138.70","79.20K","-0.71%"
"Mar 11, 2020","140.20","140.20","141.60","139.90","59.60K","-0.57%"
"Mar 10, 2020","141.00","140.80","141.60","140.20","140.20K","0.14%"
"Mar 09, 2020","140.80","139.50","141.70","139.50","125.30K","0.57%"
"Mar 06, 2020","140.00","140.50","141.20","140.00","231.50K","-0.71%"
"Mar 05, 2020","141.00","142.70","142.70","140.80","284.70K","-0.21%"
"Mar 04, 2020","141.30","140.70","141.30","140.00","59.10K","0.43%"
"Mar 03, 2020","140.70","142.50","145.00","139.40","64.40K","0.36%"
"Mar 02, 2020","140.20","139.10","141.70","139.10","111.90K","-1.96%"
"Feb 28, 2020","143.00","139.10","143.60","139.10","276.20K","0.70%"
"Feb 27, 2020","142.00","141.20","142.00","141.20","53.20K","0.21%"
"Feb 26, 2020","141.70","140.00","142.00","140.00","83.60K","-0.21%"
"Feb 25, 2020","142.00","142.40","142.40","141.70","74.60K","-0.28%"
"Feb 24, 2020","142.40","142.70","142.80","142.10","69.50K","-0.21%"
"Feb 21, 2020","142.70","143.00","143.80","142.30","69.20K","-0.42%"
"Feb 20, 2020","143.30","145.00","145.00","143.10","39.30K","-0.76%"
"Feb 19, 2020","144.40","144.20","145.00","144.00","13.50K","-0.14%"
"Feb 18, 2020","144.60","144.30","144.80","144.30","103.10K","-0.28%"
"Feb 17, 2020","145.00","144.80","145.00","144.60","28.30K","0.07%"
"Feb 14, 2020","144.90","145.00","145.00","144.60","15.20K","0.07%"
"Feb 13, 2020","144.80","145.50","145.50","144.10","36.40K","-0.14%"
"Feb 12, 2020","145.00","144.90","145.00","144.20","54.00K","0.00%"
"Feb 11, 2020","145.00","146.90","146.90","144.10","30.10K","0.00%"
"Feb 10, 2020","145.00","144.30","145.00","144.20","71.20K","0.49%"
"Feb 07, 2020","144.30","143.30","144.90","143.30","47.40K","-0.41%"
"Feb 06, 2020","144.90","144.30","145.00","143.00","80.30K","0.98%"
"Feb 05, 2020","143.50","143.20","144.70","143.20","54.00K","0.07%"
"Feb 04, 2020","143.40","142.90","144.30","142.90","111.50K","0.14%"
"Feb 03, 2020","143.20","142.10","144.10","142.10","58.90K","-0.76%"
"Jan 31, 2020","144.30","144.50","145.20","142.90","120.50K","-0.62%"
"Jan 30, 2020","145.20","144.50","145.70","144.00","23.00K","0.14%"
"Jan 29, 2020","145.00","146.70","146.70","144.60","238.20K","0.00%"
"Jan 28, 2020","145.00","144.50","145.10","144.50","37.70K","-0.75%"
"Jan 23, 2020","146.10","144.80","146.10","144.80","28.50K","0.41%"
"Jan 22, 2020","145.50","145.30","145.80","145.00","26.60K","0.21%"
"Jan 21, 2020","145.20","145.00","145.50","145.00","12.60K","-0.14%"
"Jan 20, 2020","145.40","144.80","145.50","144.80","60.60K","-0.14%"
"Jan 17, 2020","145.60","146.00","146.00","145.00","85.50K","0.07%"
"Jan 16, 2020","145.50","145.40","145.50","144.80","48.80K","-0.07%"
"Jan 15, 2020","145.60","144.90","145.70","144.90","36.70K","-0.07%"
"Jan 14, 2020","145.70","145.00","145.90","145.00","64.40K","0.07%"
"Jan 13, 2020","145.60","146.20","146.20","145.10","33.00K","0.14%"
"Jan 10, 2020","145.40","144.60","145.40","144.60","21.50K","0.35%"
"Jan 09, 2020","144.90","145.60","146.10","144.40","58.40K","-0.89%"
"Jan 08, 2020","146.20","146.50","146.50","145.70","21.90K","-0.88%"
"Jan 07, 2020","147.50","146.90","148.40","146.90","34.80K","0.68%"
"Jan 06, 2020","146.50","146.40","147.00","146.00","16.40K","-0.41%"
"Jan 03, 2020","147.10","147.00","147.50","145.10","51.90K","0.07%"
"Jan 02, 2020","147.00","145.60","147.00","145.60","24.00K","0.00%"
"Dec 31, 2019","147.00","146.60","147.40","145.80","58.60K","-0.74%"
"Dec 30, 2019","148.10","148.70","148.70","146.90","32.00K","0.14%"
"Dec 27, 2019","147.90","146.10","147.90","146.10","26.30K","0.68%"
"Dec 26, 2019","146.90","147.70","147.80","146.90","0.80K","-0.34%"
"Dec 24, 2019","147.40","148.10","148.50","147.20","7.40K","-1.47%"
"Dec 23, 2019","149.60","147.20","149.90","147.20","44.70K","0.27%"
"Dec 20, 2019","149.20","145.60","149.20","145.10","114.10K","1.50%"
"Dec 19, 2019","147.00","143.70","147.60","143.70","72.00K","1.94%"
"Dec 18, 2019","144.20","144.10","145.30","143.60","104.30K","0.14%"
"Dec 17, 2019","144.00","144.70","144.70","143.50","96.60K","-0.21%"
"Dec 16, 2019","144.30","144.00","144.90","144.00","47.20K","-0.21%"
"Dec 13, 2019","144.60","146.00","146.00","143.30","55.30K","-0.55%"
"Dec 12, 2019","145.40","143.90","146.00","143.90","77.40K","0.28%"
"Dec 11, 2019","145.00","145.30","145.40","144.90","29.50K","-0.28%"
"Dec 10, 2019","145.40","145.20","145.90","144.60","29.00K","0.14%"
"Dec 09, 2019","145.20","145.00","145.20","144.10","28.50K","0.48%"
"Dec 06, 2019","144.50","144.20","144.80","144.10","42.20K","-0.34%"
"Dec 05, 2019","145.00","144.10","145.00","144.10","25.90K","0.55%"
"Dec 04, 2019","144.20","143.80","144.70","143.80","96.80K","-0.55%"
"Dec 03, 2019","145.00","145.70","145.70","143.60","72.20K","-0.48%"
"Dec 02, 2019","145.70","142.70","145.70","142.70","62.70K","1.67%"
"Nov 29, 2019","143.30","144.20","144.20","142.10","85.90K","-0.49%"
"Nov 28, 2019","144.00","144.00","144.40","143.90","28.20K","-0.48%"
"Nov 27, 2019","144.70","145.20","145.20","144.00","25.20K","0.00%"
"Nov 26, 2019","144.70","144.70","145.00","144.50","540.80K","-0.21%"
"Nov 25, 2019","145.00","144.30","145.00","144.30","36.70K","0.14%"
"Nov 22, 2019","144.80","144.90","145.60","144.30","97.40K","-0.55%"
"Nov 21, 2019","145.60","146.00","146.00","144.60","268.20K","-0.27%"
"Nov 20, 2019","146.00","143.80","149.90","143.50","293.90K","1.25%"
"Nov 19, 2019","144.20","144.30","144.40","144.00","75.60K","0.07%"
"Nov 18, 2019","144.10","144.50","144.50","143.50","264.20K","0.28%"
"Nov 15, 2019","143.70","145.70","145.70","143.40","51.10K","-0.90%"
"Nov 14, 2019","145.00","145.00","146.00","145.00","21.20K","-0.41%"
"Nov 13, 2019","145.60","146.40","146.90","145.00","64.60K","0.21%"
"Nov 12, 2019","145.30","145.00","146.50","144.70","69.50K","0.28%"
"Nov 11, 2019","144.90","145.70","145.70","143.70","66.30K","-0.55%"
"Nov 08, 2019","145.70","146.60","146.70","145.30","73.60K","-0.82%"
"Nov 07, 2019","146.90","147.10","147.40","145.50","113.70K","0.20%"
"Nov 06, 2019","146.60","147.00","147.40","145.90","59.10K","0.14%"
"Nov 05, 2019","146.40","146.90","147.60","145.40","170.00K","-0.48%"
"Nov 04, 2019","147.10","144.80","147.10","144.80","53.10K","1.59%"
"Nov 01, 2019","144.80","144.50","144.80","144.20","53.10K","0.07%"
"Oct 31, 2019","144.70","144.10","144.70","144.10","89.00K","0.07%"
"Oct 30, 2019","144.60","144.60","144.60","143.90","48.90K","0.07%"
"Oct 29, 2019","144.50","144.40","144.50","144.00","99.10K","0.14%"
"Oct 25, 2019","144.30","144.50","144.50","143.60","74.80K","-0.07%"
"Oct 24, 2019","144.40","144.50","144.50","143.80","67.50K","0.14%"
"Oct 23, 2019","144.20","144.40","144.50","143.80","40.40K","-0.07%"
"Oct 22, 2019","144.30","143.60","144.50","143.00","106.40K","0.07%"
"Oct 21, 2019","144.20","144.00","144.20","142.40","27.10K","0.00%"
"Oct 18, 2019","144.20","144.20","144.50","143.90","64.10K","0.00%"
"Oct 17, 2019","144.20","144.40","144.40","144.00","26.20K","-0.14%"
"Oct 16, 2019","144.40","144.00","144.40","143.50","113.40K","0.28%"
"Oct 15, 2019","144.00","144.20","144.30","143.90","39.80K","-0.21%"
"Oct 14, 2019","144.30","143.50","144.30","143.20","25.00K","0.28%"
"Oct 11, 2019","143.90","145.10","145.10","143.60","124.70K","-0.48%"
"Oct 10, 2019","144.60","144.10","144.60","144.00","19.60K","0.35%"
"Oct 09, 2019","144.10","143.80","144.20","143.80","53.90K","-0.07%"
"Oct 08, 2019","144.20","143.70","144.40","143.70","56.80K","0.14%"
"Oct 07, 2019","144.00","144.20","144.20","143.40","154.50K","-0.07%"
"Oct 04, 2019","144.10","144.90","144.90","143.60","62.80K","-0.28%"
"Oct 03, 2019","144.50","145.20","145.20","143.40","168.00K","-0.48%"
"Oct 02, 2019","145.20","145.30","145.30","144.70","79.20K","-0.14%"
"Oct 01, 2019","145.40","145.90","145.90","145.20","78.30K","-0.21%"
"Sep 30, 2019","145.70","144.80","145.70","144.50","90.90K","0.28%"
"Sep 27, 2019","145.30","144.90","145.40","144.40","59.50K","-0.14%"
"Sep 26, 2019","145.50","144.90","145.50","144.90","67.60K","0.00%"
"Sep 25, 2019","145.50","146.20","146.20","145.20","211.30K","0.14%"
"Sep 24, 2019","145.30","145.00","145.30","144.30","91.90K","-0.07%"
"Sep 23, 2019","145.40","145.30","145.70","144.60","84.70K","0.14%"
"Sep 20, 2019","145.20","145.50","146.00","145.10","360.80K","-0.41%"
"Sep 19, 2019","145.80","146.00","146.10","145.40","51.00K","-0.48%"
"Sep 18, 2019","146.50","147.40","147.40","145.10","102.90K","-0.34%"
"Sep 17, 2019","147.00","146.00","147.70","146.00","122.10K","0.20%"
"Sep 13, 2019","146.70","147.10","147.10","146.60","165.50K","0.34%"
"Sep 12, 2019","146.20","147.60","147.60","146.10","136.10K","-0.48%"
"Sep 11, 2019","146.90","145.70","146.90","145.70","43.50K","0.00%"
"Sep 10, 2019","146.90","146.80","146.90","146.00","81.20K","0.14%"
"Sep 06, 2019","146.70","147.70","147.80","146.20","164.80K","-0.74%"
"Sep 05, 2019","147.80","146.80","148.40","146.80","42.80K","-0.14%"
"Sep 04, 2019","148.00","147.00","148.50","146.70","48.70K","0.68%"
"Sep 03, 2019","147.00","147.90","147.90","145.50","94.30K","-0.34%"
"Aug 30, 2019","147.50","147.90","148.00","145.10","125.50K","0.34%"
"Aug 29, 2019","147.00","147.80","148.00","144.00","90.80K","0.00%"
"Aug 28, 2019","147.00","149.00","149.00","146.50","49.50K","-1.08%"
"Aug 27, 2019","148.60","149.30","149.70","148.00","167.70K","0.20%"
"Aug 26, 2019","148.30","149.30","149.30","147.40","152.40K","-0.47%"
"Aug 23, 2019","149.00","147.40","149.00","147.40","87.20K","0.00%"
"Aug 22, 2019","149.00","147.70","149.00","147.70","56.90K","0.40%"
"Aug 21, 2019","148.40","147.60","148.50","147.60","74.40K","0.54%"
"Aug 20, 2019","147.60","148.30","148.30","147.30","51.80K","-0.47%"
"Aug 19, 2019","148.30","149.00","149.00","147.90","45.80K","-0.47%"
"Aug 16, 2019","149.00","147.00","149.00","146.70","44.20K","0.88%"
"Aug 15, 2019","147.70","146.60","147.90","146.60","58.10K","0.27%"
"Aug 14, 2019","147.30","146.90","147.70","146.90","41.20K","-0.27%"
"Aug 13, 2019","147.70","147.00","148.50","146.90","37.80K","-0.20%"
"Aug 09, 2019","148.00","147.80","148.60","147.80","43.00K","-0.20%"
"Aug 08, 2019","148.30","148.30","148.50","147.40","28.70K","0.20%"
"Aug 07, 2019","148.00","147.30","148.30","147.30","81.40K","0.48%"
"Aug 06, 2019","147.30","146.50","148.00","146.50","92.10K","-0.07%"
"Aug 05, 2019","147.40","147.30","148.50","146.70","78.10K","-0.07%"
"Aug 02, 2019","147.50","147.90","148.50","146.60","102.20K","-0.81%"
"Aug 01, 2019","148.70","147.80","148.80","147.80","55.70K","0.07%"
"Jul 31, 2019","148.60","148.20","148.60","147.60","109.90K","0.00%"
