"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2020","38.91","38.79","39.63","38.71","314.18K","-1.17%"
"Apr 17, 2020","39.37","39.25","39.75","38.58","280.37K","2.45%"
"Apr 16, 2020","38.43","37.69","38.43","36.73","456.63K","2.59%"
"Apr 15, 2020","37.46","37.09","38.68","36.51","580.33K","-2.14%"
"Apr 14, 2020","38.28","39.69","40.71","38.04","564.80K","-5.36%"
"Apr 13, 2020","40.45","39.80","40.67","39.58","311.61K","0.05%"
"Apr 09, 2020","40.43","40.99","43.47","39.87","617.60K","0.40%"
"Apr 08, 2020","40.27","39.01","40.72","37.96","455.29K","4.79%"
"Apr 07, 2020","38.43","40.37","40.61","38.31","493.38K","-1.89%"
"Apr 06, 2020","39.17","39.89","39.89","38.10","460.86K","4.31%"
"Apr 03, 2020","37.55","37.63","38.53","35.54","567.43K","-1.39%"
"Apr 02, 2020","38.08","36.59","38.54","36.28","674.40K","2.53%"
"Apr 01, 2020","37.14","36.09","37.36","35.15","497.86K","1.25%"
"Mar 31, 2020","36.68","37.00","37.36","35.16","615.14K","-1.29%"
"Mar 30, 2020","37.16","36.37","38.01","35.84","514.56K","2.09%"
"Mar 27, 2020","36.40","34.14","37.15","33.93","480.55K","3.56%"
"Mar 26, 2020","35.15","33.08","35.75","32.51","734.52K","14.35%"
"Mar 25, 2020","30.74","31.98","32.23","30.53","520.48K","-4.98%"
"Mar 24, 2020","32.35","31.14","32.89","31.11","913.42K","9.66%"
"Mar 23, 2020","29.50","30.14","31.10","28.08","791.76K","-2.25%"
"Mar 20, 2020","30.18","31.37","31.87","29.54","2.09M","-3.61%"
"Mar 19, 2020","31.31","30.17","33.10","28.81","1.63M","4.37%"
"Mar 18, 2020","30.00","28.54","30.02","28.01","1.94M","1.63%"
"Mar 17, 2020","29.52","30.77","31.10","27.40","1.47M","-2.51%"
"Mar 16, 2020","30.28","30.87","32.02","29.93","933.63K","-11.33%"
"Mar 13, 2020","34.15","34.78","35.87","32.56","1.19M","2.80%"
"Mar 12, 2020","33.22","33.35","34.45","32.02","838.05K","-7.49%"
"Mar 11, 2020","35.91","36.29","36.93","35.14","726.09K","-3.91%"
"Mar 10, 2020","37.37","35.38","37.53","34.71","949.87K","8.19%"
"Mar 09, 2020","34.54","35.24","37.64","34.45","675.70K","-9.27%"
"Mar 06, 2020","38.07","37.76","38.89","36.93","397.52K","-1.98%"
"Mar 05, 2020","38.84","38.42","38.90","37.85","383.93K","-1.07%"
"Mar 04, 2020","39.26","39.39","39.58","38.41","372.47K","2.05%"
"Mar 03, 2020","38.47","39.21","39.96","37.28","666.86K","-1.69%"
"Mar 02, 2020","39.13","38.47","39.16","36.80","366.37K","4.74%"
"Feb 28, 2020","37.36","36.31","37.36","35.70","621.32K","-0.77%"
"Feb 27, 2020","37.65","38.24","39.45","37.45","499.94K","-3.09%"
"Feb 26, 2020","38.85","39.83","40.30","38.74","341.61K","-1.92%"
"Feb 25, 2020","39.61","40.84","41.02","39.57","191.59K","-2.82%"
"Feb 24, 2020","40.76","41.37","41.73","40.24","326.93K","-3.87%"
"Feb 21, 2020","42.40","42.46","42.54","41.74","268.16K","-0.26%"
"Feb 20, 2020","42.51","42.17","42.57","41.66","228.52K","0.28%"
"Feb 19, 2020","42.39","42.24","42.66","41.93","279.46K","0.57%"
"Feb 18, 2020","42.15","42.42","42.96","41.74","325.22K","-0.75%"
"Feb 14, 2020","42.47","43.42","43.68","42.44","271.33K","-2.21%"
"Feb 13, 2020","43.43","43.69","44.01","43.20","388.04K","-1.00%"
"Feb 12, 2020","43.87","44.03","44.42","43.23","299.39K","0.02%"
"Feb 11, 2020","43.86","43.83","44.32","43.62","373.76K","0.64%"
"Feb 10, 2020","43.58","45.48","45.81","43.02","625.21K","-5.18%"
"Feb 07, 2020","45.96","45.15","46.12","44.30","599.67K","2.16%"
"Feb 06, 2020","44.99","41.50","45.29","41.50","2.05M","8.41%"
"Feb 05, 2020","41.50","41.63","42.08","41.21","738.23K","0.53%"
"Feb 04, 2020","41.28","40.65","41.69","40.65","666.34K","2.66%"
"Feb 03, 2020","40.21","40.70","41.28","40.13","368.09K","-0.86%"
"Jan 31, 2020","40.56","41.26","41.86","40.46","273.52K","-2.34%"
"Jan 30, 2020","41.53","41.52","41.97","41.22","147.01K","-0.91%"
"Jan 29, 2020","41.91","42.60","42.73","41.89","359.60K","-1.06%"
"Jan 28, 2020","42.36","41.26","42.43","41.26","241.41K","3.29%"
"Jan 27, 2020","41.01","40.31","41.29","40.03","386.75K","0.32%"
"Jan 24, 2020","40.88","41.68","41.68","40.65","233.35K","-1.78%"
"Jan 23, 2020","41.62","41.30","41.88","41.01","237.26K","0.41%"
"Jan 22, 2020","41.45","41.75","41.98","41.20","218.48K","-0.69%"
"Jan 21, 2020","41.74","42.02","42.28","41.51","271.41K","-1.09%"
"Jan 17, 2020","42.20","42.04","42.50","41.86","260.80K","0.74%"
"Jan 16, 2020","41.89","41.41","41.90","41.06","438.19K","1.80%"
"Jan 15, 2020","41.15","39.64","41.24","39.64","479.86K","4.18%"
"Jan 14, 2020","39.50","38.95","39.66","38.70","487.51K","0.87%"
"Jan 13, 2020","39.16","38.70","39.65","38.40","586.84K","1.95%"
"Jan 10, 2020","38.41","38.72","38.95","38.05","431.07K","-0.93%"
"Jan 09, 2020","38.77","39.50","39.75","38.66","289.40K","-1.47%"
"Jan 08, 2020","39.35","39.82","40.18","39.28","322.91K","-1.16%"
"Jan 07, 2020","39.81","41.08","41.17","39.79","384.39K","-2.71%"
"Jan 06, 2020","40.92","39.89","41.09","39.84","254.79K","1.72%"
"Jan 03, 2020","40.23","39.94","41.01","39.90","397.92K","-0.64%"
"Jan 02, 2020","40.49","40.65","40.65","39.82","327.53K","-0.02%"
"Dec 31, 2019","40.50","41.06","41.37","40.50","330.01K","-1.51%"
"Dec 30, 2019","41.12","40.67","41.38","40.67","267.02K","1.16%"
"Dec 27, 2019","40.65","40.55","40.75","40.08","201.86K","0.44%"
"Dec 26, 2019","40.47","39.97","40.63","39.97","205.67K","1.33%"
"Dec 24, 2019","39.94","39.75","40.10","39.49","97.32K","0.50%"
"Dec 23, 2019","39.74","40.25","40.25","39.69","280.97K","-0.67%"
"Dec 20, 2019","40.01","40.03","40.25","39.83","626.88K","0.38%"
"Dec 19, 2019","39.86","40.64","40.80","39.79","310.68K","-1.73%"
"Dec 18, 2019","40.56","40.62","40.64","40.04","496.51K","-0.42%"
"Dec 17, 2019","40.73","39.75","40.75","39.58","379.63K","2.52%"
"Dec 16, 2019","39.73","39.03","40.13","39.03","293.43K","2.29%"
"Dec 13, 2019","38.84","38.91","39.31","38.77","219.68K","-0.38%"
"Dec 12, 2019","38.99","38.94","39.46","38.64","333.10K","0.26%"
"Dec 11, 2019","38.89","39.02","39.34","38.51","219.99K","-0.49%"
"Dec 10, 2019","39.08","38.52","39.22","38.45","389.47K","1.45%"
"Dec 09, 2019","38.52","38.42","38.83","38.24","221.60K","0.78%"
"Dec 06, 2019","38.22","38.48","38.91","38.20","288.38K","0.21%"
"Dec 05, 2019","38.14","38.04","38.19","37.86","291.87K","0.10%"
"Dec 04, 2019","38.10","37.71","38.32","37.61","397.08K","1.55%"
"Dec 03, 2019","37.52","37.40","37.76","37.08","570.08K","-0.82%"
"Dec 02, 2019","37.83","37.83","38.23","37.62","287.63K","0.16%"
"Nov 29, 2019","37.77","38.29","38.50","37.71","91.32K","-0.84%"
"Nov 27, 2019","38.09","37.71","38.24","37.71","218.24K","1.33%"
"Nov 26, 2019","37.59","37.63","38.06","37.48","232.72K","-0.29%"
"Nov 25, 2019","37.70","37.64","38.20","37.59","268.15K","0.99%"
"Nov 22, 2019","37.33","37.81","37.83","37.14","177.90K","-0.64%"
"Nov 21, 2019","37.57","37.16","37.63","36.77","243.24K","1.54%"
