"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","3.97","3.91","4.00","3.89","600.30K","-0.25%"
"Apr 20, 2020","3.98","3.98","3.99","3.90","3.66M","0.51%"
"Apr 17, 2020","3.96","3.99","4.00","3.96","2.96M","0.00%"
"Apr 16, 2020","3.96","3.98","3.99","3.93","4.66M","0.51%"
"Apr 15, 2020","3.94","3.81","3.96","3.81","6.95M","3.68%"
"Apr 14, 2020","3.80","3.78","3.81","3.74","4.10M","0.53%"
"Apr 13, 2020","3.78","3.75","3.78","3.74","1.38M","0.27%"
"Apr 10, 2020","3.77","3.78","3.78","3.74","3.36M","0.53%"
"Apr 09, 2020","3.75","3.77","3.77","3.75","2.87M","0.54%"
"Apr 08, 2020","3.73","3.78","3.78","3.71","3.93M","-1.32%"
"Apr 07, 2020","3.78","3.75","3.79","3.75","3.67M","1.34%"
"Apr 06, 2020","3.73","3.76","3.77","3.70","781.50K","-0.80%"
"Apr 03, 2020","3.76","3.74","3.76","3.70","3.59M","0.53%"
"Apr 02, 2020","3.74","3.71","3.76","3.68","1.65M","0.81%"
"Apr 01, 2020","3.71","3.71","3.75","3.66","6.35M","-1.07%"
"Mar 31, 2020","3.75","3.65","3.80","3.65","7.03M","2.74%"
"Mar 30, 2020","3.65","3.65","3.66","3.47","3.66M","0.00%"
"Mar 27, 2020","3.65","3.63","3.67","3.58","2.73M","2.24%"
"Mar 26, 2020","3.57","3.43","3.67","3.37","2.42M","4.69%"
"Mar 25, 2020","3.41","3.58","3.58","3.41","2.46M","-2.57%"
"Mar 24, 2020","3.50","3.39","3.50","3.38","3.85M","2.94%"
"Mar 23, 2020","3.40","3.40","3.46","3.37","3.47M","-3.41%"
"Mar 20, 2020","3.52","3.26","3.54","3.22","7.19M","7.98%"
"Mar 19, 2020","3.26","3.32","3.35","3.21","4.44M","-4.40%"
"Mar 18, 2020","3.41","3.40","3.42","3.22","4.15M","1.79%"
"Mar 17, 2020","3.35","3.10","3.45","3.10","6.67M","0.60%"
"Mar 16, 2020","3.33","3.29","3.34","3.15","8.30M","-0.89%"
"Mar 13, 2020","3.36","3.39","3.39","3.09","7.05M","-2.33%"
"Mar 12, 2020","3.44","3.45","3.46","3.40","3.87M","-1.71%"
"Mar 11, 2020","3.50","3.45","3.51","3.40","6.78M","1.45%"
"Mar 10, 2020","3.45","3.49","3.49","3.39","7.72M","-1.43%"
"Mar 09, 2020","3.50","3.59","3.59","3.40","3.71M","-3.05%"
"Mar 06, 2020","3.61","3.64","3.68","3.61","4.07M","-3.73%"
"Mar 05, 2020","3.75","3.69","3.75","3.66","3.26M","1.63%"
"Mar 04, 2020","3.69","3.69","3.72","3.65","2.33M","0.82%"
"Mar 03, 2020","3.66","3.71","3.72","3.63","4.01M","-0.27%"
"Mar 02, 2020","3.67","3.69","3.72","3.52","2.50M","-0.81%"
"Feb 28, 2020","3.70","3.68","3.71","3.66","3.27M","-0.27%"
"Feb 27, 2020","3.71","3.68","3.74","3.68","1.77M","0.00%"
"Feb 26, 2020","3.71","3.66","3.72","3.66","5.18M","-0.54%"
"Feb 25, 2020","3.73","3.75","3.80","3.68","5.09M","-0.53%"
"Feb 24, 2020","3.75","3.71","3.76","3.66","8.74M","-1.83%"
"Feb 21, 2020","3.82","3.86","3.90","3.80","3.73M","-1.55%"
"Feb 20, 2020","3.88","3.92","3.92","3.85","1.43M","-0.77%"
"Feb 19, 2020","3.91","3.87","3.94","3.86","1.47M","1.03%"
"Feb 18, 2020","3.87","3.84","3.88","3.83","667.20K","0.78%"
"Feb 17, 2020","3.84","3.85","3.87","3.83","783.50K","-0.26%"
"Feb 14, 2020","3.85","3.83","3.87","3.83","1.39M","-0.26%"
"Feb 13, 2020","3.86","3.83","3.88","3.83","1.67M","0.26%"
"Feb 12, 2020","3.85","3.85","3.86","3.82","1.81M","0.79%"
"Feb 11, 2020","3.82","3.86","3.86","3.81","1.51M","-1.04%"
"Feb 10, 2020","3.86","3.86","3.87","3.81","5.52M","0.00%"
"Feb 07, 2020","3.86","3.88","3.88","3.86","1.77M","-0.52%"
"Feb 06, 2020","3.88","3.94","3.97","3.88","1.97M","-1.77%"
"Feb 05, 2020","3.95","3.95","3.98","3.89","2.66M","0.00%"
"Feb 04, 2020","3.95","3.83","3.99","3.81","2.29M","3.13%"
"Feb 03, 2020","3.83","3.82","3.84","3.78","2.88M","-0.78%"
"Jan 31, 2020","3.86","3.85","3.89","3.85","3.04M","0.00%"
"Jan 30, 2020","3.86","3.87","3.93","3.86","1.48M","-1.03%"
"Jan 29, 2020","3.90","3.90","3.95","3.83","3.63M","-0.26%"
"Jan 28, 2020","3.91","3.95","3.95","3.89","1.61M","-2.25%"
"Jan 24, 2020","4.00","3.96","4.00","3.96","654.70K","0.25%"
"Jan 23, 2020","3.99","3.93","3.99","3.91","923.00K","1.53%"
"Jan 22, 2020","3.93","4.01","4.01","3.92","675.50K","-2.24%"
"Jan 21, 2020","4.02","4.05","4.06","4.02","1.65M","-0.74%"
"Jan 20, 2020","4.05","4.05","4.05","4.01","5.90M","0.75%"
"Jan 17, 2020","4.02","4.00","4.02","3.94","8.39M","0.00%"
"Jan 16, 2020","4.02","3.92","4.02","3.88","6.97M","1.52%"
"Jan 15, 2020","3.96","3.96","3.96","3.87","1.92M","0.00%"
"Jan 14, 2020","3.96","3.93","3.98","3.92","3.05M","0.76%"
"Jan 13, 2020","3.93","3.92","3.94","3.90","3.69M","0.00%"
"Jan 10, 2020","3.93","3.94","3.94","3.91","2.63M","-0.25%"
"Jan 09, 2020","3.94","3.92","3.95","3.89","7.92M","0.77%"
"Jan 08, 2020","3.91","3.84","3.94","3.81","10.97M","1.03%"
"Jan 07, 2020","3.87","3.83","3.88","3.81","1.08M","1.04%"
"Jan 06, 2020","3.83","3.84","3.84","3.80","1.09M","-1.03%"
"Jan 03, 2020","3.87","3.85","3.87","3.84","5.07M","0.52%"
"Jan 02, 2020","3.85","3.82","3.87","3.82","3.23M","0.79%"
"Dec 31, 2019","3.82","3.86","3.88","3.82","1.71M","-1.55%"
"Dec 30, 2019","3.88","3.92","3.92","3.85","1.88M","-0.77%"
"Dec 27, 2019","3.91","3.87","3.94","3.85","2.47M","1.56%"
"Dec 26, 2019","3.85","3.88","3.89","3.84","259.60K","-0.77%"
"Dec 24, 2019","3.88","3.89","3.90","3.84","741.00K","-0.26%"
"Dec 23, 2019","3.89","3.84","3.90","3.82","2.46M","0.78%"
"Dec 20, 2019","3.86","3.91","3.91","3.81","2.57M","0.00%"
"Dec 19, 2019","3.86","3.83","3.88","3.82","2.41M","0.26%"
