"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","6.61","6.76","6.76","6.46","2.86M","-2.22%"
"Apr 20, 2020","6.76","6.87","6.88","6.74","6.52M","-0.59%"
"Apr 17, 2020","6.80","6.80","6.88","6.73","8.77M","1.04%"
"Apr 16, 2020","6.73","6.74","6.79","6.70","7.05M","-0.30%"
"Apr 15, 2020","6.75","6.71","6.79","6.71","7.03M","0.75%"
"Apr 14, 2020","6.70","6.79","6.79","6.66","3.43M","0.45%"
"Apr 13, 2020","6.67","6.50","6.83","6.50","6.76M","2.62%"
"Apr 10, 2020","6.50","6.47","6.50","6.46","2.06M","0.46%"
"Apr 09, 2020","6.47","6.48","6.50","6.44","9.52M","0.78%"
"Apr 08, 2020","6.42","6.46","6.46","6.41","6.89M","-0.77%"
"Apr 07, 2020","6.47","6.49","6.52","6.41","11.16M","0.94%"
"Apr 06, 2020","6.41","6.42","6.50","6.39","7.70M","0.16%"
"Apr 03, 2020","6.40","6.40","6.42","6.37","11.04M","0.00%"
"Apr 02, 2020","6.40","6.46","6.47","6.37","8.10M","0.31%"
"Apr 01, 2020","6.38","6.46","6.47","6.32","5.10M","-1.09%"
"Mar 31, 2020","6.45","6.45","6.50","6.32","10.90M","1.10%"
"Mar 30, 2020","6.38","6.39","6.46","6.32","7.95M","0.95%"
"Mar 27, 2020","6.32","6.32","6.49","6.24","10.04M","1.94%"
"Mar 26, 2020","6.20","6.20","6.21","6.15","8.68M","0.00%"
"Mar 25, 2020","6.20","6.20","6.27","6.04","9.96M","1.47%"
"Mar 24, 2020","6.11","6.12","6.23","6.11","10.79M","0.00%"
"Mar 23, 2020","6.11","6.15","6.24","6.00","13.46M","-2.55%"
"Mar 20, 2020","6.27","6.00","6.27","5.75","22.20M","7.18%"
"Mar 19, 2020","5.85","5.74","5.88","5.66","12.23M","1.74%"
"Mar 18, 2020","5.75","5.89","6.12","5.63","13.13M","-1.54%"
"Mar 17, 2020","5.84","5.70","5.86","5.28","29.30M","-0.68%"
"Mar 16, 2020","5.88","6.30","6.30","5.80","19.52M","-5.77%"
"Mar 13, 2020","6.24","6.30","6.50","5.97","21.98M","-4.15%"
"Mar 12, 2020","6.51","6.40","6.69","6.39","24.65M","3.66%"
"Mar 11, 2020","6.28","6.14","6.31","6.10","17.22M","2.95%"
"Mar 10, 2020","6.10","6.05","6.20","6.04","17.74M","-0.16%"
"Mar 09, 2020","6.11","6.04","6.14","5.90","18.17M","1.83%"
"Mar 06, 2020","6.00","5.73","6.08","5.73","36.38M","4.71%"
"Mar 05, 2020","5.73","5.70","5.77","5.69","9.60M","0.53%"
"Mar 04, 2020","5.70","5.78","5.78","5.61","27.60M","0.00%"
"Mar 03, 2020","5.70","5.75","5.85","5.62","6.50M","1.79%"
"Mar 02, 2020","5.60","5.63","5.70","5.49","8.01M","-0.71%"
"Feb 28, 2020","5.64","5.68","5.74","5.62","12.75M","-0.88%"
"Feb 27, 2020","5.69","5.70","5.78","5.68","6.54M","0.18%"
"Feb 26, 2020","5.68","5.60","5.72","5.60","14.02M","1.07%"
"Feb 25, 2020","5.62","5.42","5.67","5.40","24.50M","3.31%"
"Feb 24, 2020","5.44","5.25","5.51","5.12","24.37M","2.84%"
"Feb 21, 2020","5.29","5.26","5.45","5.26","13.21M","-0.19%"
"Feb 20, 2020","5.30","5.40","5.42","5.26","16.39M","-2.39%"
"Feb 19, 2020","5.43","5.64","5.64","5.37","14.95M","-3.89%"
"Feb 18, 2020","5.65","5.68","5.70","5.63","5.13M","-0.53%"
"Feb 17, 2020","5.68","5.86","5.89","5.65","9.75M","-2.91%"
"Feb 14, 2020","5.85","5.85","5.88","5.84","8.12M","-0.17%"
"Feb 13, 2020","5.86","5.85","5.89","5.81","4.70M","0.17%"
"Feb 12, 2020","5.85","5.77","5.89","5.75","23.97M","2.27%"
"Feb 11, 2020","5.72","5.75","5.78","5.72","10.53M","-0.35%"
"Feb 10, 2020","5.74","5.73","5.77","5.70","12.06M","1.41%"
"Feb 07, 2020","5.66","5.65","5.75","5.62","9.64M","0.71%"
"Feb 06, 2020","5.62","5.65","5.67","5.58","19.21M","-0.53%"
"Feb 05, 2020","5.65","5.70","5.72","5.58","26.17M","-0.88%"
"Feb 04, 2020","5.70","5.78","5.83","5.67","17.86M","-1.38%"
"Feb 03, 2020","5.78","5.84","5.93","5.71","15.52M","-1.20%"
"Jan 31, 2020","5.85","5.89","5.97","5.85","19.29M","-0.68%"
"Jan 30, 2020","5.89","5.90","5.92","5.73","27.60M","0.86%"
"Jan 29, 2020","5.84","6.00","6.02","5.60","38.76M","-2.67%"
"Jan 28, 2020","6.00","5.88","6.10","5.81","32.53M","8.30%"
"Jan 24, 2020","5.54","5.38","5.61","5.38","16.95M","3.36%"
"Jan 23, 2020","5.36","5.46","5.52","5.30","24.63M","-1.29%"
"Jan 22, 2020","5.43","5.22","5.46","5.22","46.20M","6.26%"
"Jan 21, 2020","5.11","4.84","5.16","4.84","33.28M","6.02%"
"Jan 20, 2020","4.82","4.76","4.83","4.76","5.01M","1.26%"
"Jan 17, 2020","4.76","4.70","4.76","4.70","10.41M","1.06%"
"Jan 16, 2020","4.71","4.75","4.75","4.68","3.65M","-1.88%"
"Jan 15, 2020","4.80","4.66","4.80","4.63","2.17M","3.00%"
"Jan 14, 2020","4.66","4.67","4.68","4.63","1.11M","0.43%"
"Jan 13, 2020","4.64","4.62","4.67","4.59","1.58M","0.43%"
"Jan 10, 2020","4.62","4.59","4.62","4.55","1.36M","0.87%"
"Jan 09, 2020","4.58","4.66","4.68","4.57","3.07M","-0.65%"
"Jan 08, 2020","4.61","4.64","4.68","4.61","3.46M","-0.86%"
"Jan 07, 2020","4.65","4.65","4.70","4.62","3.47M","-0.21%"
"Jan 06, 2020","4.66","4.67","4.67","4.60","890.10K","-0.21%"
