"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2020","746.36","731.22","765.41","714.08","14.75M","-1.00%"
"Apr 17, 2020","753.89","774.07","774.07","747.88","13.13M","1.16%"
"Apr 16, 2020","745.21","717.39","759.38","707.74","20.66M","2.11%"
"Apr 15, 2020","729.83","742.00","752.65","710.00","23.58M","2.81%"
"Apr 14, 2020","709.89","699.01","741.53","693.00","30.58M","9.05%"
"Apr 13, 2020","650.95","590.62","652.00","580.53","22.48M","13.60%"
"Apr 09, 2020","573.00","562.08","574.99","557.43","13.65M","4.40%"
"Apr 08, 2020","548.84","553.02","557.00","533.56","12.66M","0.62%"
"Apr 07, 2020","545.45","545.00","564.83","532.71","17.92M","5.66%"
"Apr 06, 2020","516.24","512.49","520.32","498.38","14.90M","7.55%"
"Apr 03, 2020","480.01","507.16","515.08","468.65","22.56M","5.62%"
"Apr 02, 2020","454.47","477.22","494.00","446.72","19.86M","-5.63%"
"Apr 01, 2020","481.56","503.90","513.11","475.10","13.35M","-8.10%"
"Mar 31, 2020","524.00","502.23","542.83","497.35","17.77M","4.36%"
"Mar 30, 2020","502.13","510.26","516.65","491.23","12.00M","-2.38%"
"Mar 27, 2020","514.36","502.72","524.34","494.34","14.38M","-2.61%"
"Mar 26, 2020","528.16","549.11","558.12","512.53","17.42M","-2.06%"
"Mar 25, 2020","539.25","545.20","556.40","511.56","21.22M","6.78%"
"Mar 24, 2020","505.00","479.66","513.58","474.52","22.90M","16.28%"
"Mar 23, 2020","434.29","433.60","442.00","410.50","16.45M","1.58%"
"Mar 20, 2020","427.53","438.20","477.00","425.79","28.29M","-0.03%"
"Mar 19, 2020","427.64","374.00","451.75","359.63","30.20M","18.39%"
"Mar 18, 2020","361.22","389.25","404.56","350.80","23.79M","-16.03%"
"Mar 17, 2020","430.20","440.01","471.85","396.00","23.99M","-3.34%"
"Mar 16, 2020","445.07","469.50","494.87","442.17","20.49M","-18.58%"
"Mar 13, 2020","546.62","595.00","607.57","502.00","22.64M","-2.49%"
"Mar 12, 2020","560.55","580.89","594.50","546.25","18.91M","-11.62%"
"Mar 11, 2020","634.23","640.20","653.58","613.00","13.41M","-1.72%"
"Mar 10, 2020","645.33","659.43","668.00","608.00","15.59M","6.14%"
"Mar 09, 2020","608.00","605.39","663.00","605.00","17.07M","-13.57%"
"Mar 06, 2020","703.48","690.00","707.00","684.27","12.66M","-2.91%"
"Mar 05, 2020","724.54","723.77","745.75","718.07","10.85M","-3.33%"
"Mar 04, 2020","749.50","763.96","766.52","724.73","15.05M","0.54%"
"Mar 03, 2020","745.51","805.00","806.98","716.11","25.78M","0.25%"
"Mar 02, 2020","743.62","711.26","743.69","686.67","20.19M","11.32%"
"Feb 28, 2020","667.99","629.70","690.52","611.52","24.56M","-1.62%"
"Feb 27, 2020","679.00","730.00","739.77","669.00","24.28M","-12.81%"
"Feb 26, 2020","778.80","782.50","813.31","776.11","14.15M","-2.64%"
"Feb 25, 2020","799.91","849.00","856.60","787.00","17.29M","-4.06%"
"Feb 24, 2020","833.79","839.00","863.50","822.20","15.19M","-7.46%"
"Feb 21, 2020","901.00","906.98","913.06","880.45","14.34M","0.18%"
"Feb 20, 2020","899.41","911.95","912.00","859.94","17.63M","-1.96%"
"Feb 19, 2020","917.42","923.50","944.78","901.02","25.42M","6.88%"
"Feb 18, 2020","858.40","841.60","860.00","832.36","16.70M","7.30%"
"Feb 14, 2020","800.03","787.22","812.97","785.50","15.69M","-0.49%"
"Feb 13, 2020","804.00","741.84","818.00","735.00","26.29M","4.78%"
"Feb 12, 2020","767.29","777.87","789.75","763.37","12.02M","-0.92%"
"Feb 11, 2020","774.38","768.79","783.51","758.00","11.70M","0.40%"
"Feb 10, 2020","771.28","800.00","819.99","752.40","24.69M","3.10%"
"Feb 07, 2020","748.07","730.55","769.75","730.00","17.06M","-0.12%"
"Feb 06, 2020","748.96","699.92","795.83","687.00","39.88M","1.94%"
"Feb 05, 2020","734.70","823.26","845.98","704.11","48.42M","-17.18%"
"Feb 04, 2020","887.06","882.96","968.99","833.88","60.94M","13.73%"
"Feb 03, 2020","780.00","673.69","786.14","673.52","47.23M","19.89%"
"Jan 31, 2020","650.57","640.00","653.00","632.52","15.72M","1.52%"
"Jan 30, 2020","640.81","632.42","650.88","618.00","29.01M","10.30%"
"Jan 29, 2020","580.99","575.69","589.80","567.43","18.22M","2.49%"
"Jan 28, 2020","566.90","568.49","576.81","558.08","11.79M","1.59%"
"Jan 27, 2020","558.02","541.99","564.44","539.28","13.61M","-1.20%"
"Jan 24, 2020","564.82","570.63","573.86","554.26","14.35M","-1.29%"
"Jan 23, 2020","572.20","564.25","582.00","555.60","19.65M","0.46%"
"Jan 22, 2020","569.56","571.89","594.50","559.10","31.37M","4.09%"
"Jan 21, 2020","547.20","530.25","548.58","528.41","17.80M","7.19%"
"Jan 17, 2020","510.50","507.61","515.67","503.16","13.63M","-0.58%"
"Jan 16, 2020","513.49","493.75","514.46","492.17","21.74M","-0.97%"
"Jan 15, 2020","518.50","529.76","537.84","516.79","17.37M","-3.61%"
"Jan 14, 2020","537.92","544.25","547.41","524.90","29.06M","2.49%"
"Jan 13, 2020","524.86","493.50","525.63","492.00","26.63M","9.77%"
"Jan 10, 2020","478.15","481.79","484.94","473.70","12.98M","-0.66%"
"Jan 09, 2020","481.34","497.10","498.80","472.87","28.46M","-2.19%"
"Jan 08, 2020","492.14","473.70","498.49","468.23","31.20M","4.92%"
"Jan 07, 2020","469.06","461.40","471.63","453.36","18.21M","3.88%"
"Jan 06, 2020","451.54","440.47","451.56","440.00","10.16M","1.93%"
"Jan 03, 2020","443.01","440.50","454.00","436.92","17.79M","2.96%"
"Jan 02, 2020","430.26","424.50","430.70","421.71","9.56M","2.85%"
"Dec 31, 2019","418.33","405.00","421.29","402.08","10.29M","0.88%"
"Dec 30, 2019","414.70","428.79","429.00","409.26","12.60M","-3.64%"
"Dec 27, 2019","430.38","435.00","435.31","426.11","9.96M","-0.13%"
"Dec 26, 2019","430.94","427.91","433.48","426.35","10.65M","1.34%"
"Dec 24, 2019","425.25","418.36","425.47","412.69","8.05M","1.44%"
"Dec 23, 2019","419.22","411.78","422.01","410.00","13.33M","3.36%"
"Dec 20, 2019","405.59","410.29","413.00","400.19","14.79M","0.38%"
"Dec 19, 2019","404.04","397.32","406.85","396.50","18.12M","2.77%"
"Dec 18, 2019","393.15","380.63","395.22","380.58","14.14M","3.74%"
"Dec 17, 2019","378.99","378.99","385.50","375.90","8.50M","-0.66%"
"Dec 16, 2019","381.50","362.55","383.61","362.50","18.22M","6.45%"
"Dec 13, 2019","358.39","361.05","365.21","354.64","6.57M","-0.36%"
"Dec 12, 2019","359.68","354.92","362.74","353.23","7.78M","1.98%"
"Dec 11, 2019","352.70","351.88","357.19","351.09","6.92M","1.11%"
"Dec 10, 2019","348.84","339.96","350.73","339.31","8.84M","2.74%"
"Dec 09, 2019","339.53","336.59","344.45","335.08","9.04M","1.08%"
"Dec 06, 2019","335.89","335.00","338.86","334.77","7.62M","1.67%"
"Dec 05, 2019","330.37","332.83","334.42","327.25","3.74M","-0.80%"
"Dec 04, 2019","333.03","337.75","337.86","332.85","5.54M","-0.94%"
"Dec 03, 2019","336.20","332.62","337.91","332.19","6.61M","0.40%"
"Dec 02, 2019","334.87","329.40","336.38","328.69","6.08M","1.49%"
"Nov 29, 2019","329.94","331.11","331.26","327.50","2.47M","-0.41%"
"Nov 27, 2019","331.29","331.12","333.93","328.57","5.56M","0.72%"
"Nov 26, 2019","328.92","335.27","335.50","327.10","7.96M","-2.21%"
"Nov 25, 2019","336.34","344.32","344.57","334.46","12.35M","0.99%"
"Nov 22, 2019","333.04","340.16","341.00","330.00","16.87M","-6.14%"
"Nov 21, 2019","354.83","354.51","360.84","354.00","6.11M","0.74%"
"Nov 20, 2019","352.22","360.00","361.20","349.57","6.73M","-2.03%"
"Nov 19, 2019","359.52","351.75","359.99","347.80","7.74M","2.72%"
"Nov 18, 2019","349.99","352.92","353.15","346.10","4.41M","-0.62%"
"Nov 15, 2019","352.17","350.64","352.80","348.36","4.81M","0.81%"
"Nov 14, 2019","349.35","346.11","353.84","342.91","6.47M","0.94%"
"Nov 13, 2019","346.11","355.00","356.33","345.18","8.47M","-1.09%"
"Nov 12, 2019","349.93","346.90","350.37","344.04","7.36M","1.40%"
"Nov 11, 2019","345.09","343.95","349.19","342.00","9.99M","2.36%"
"Nov 08, 2019","337.14","334.50","337.46","332.50","6.07M","0.48%"
"Nov 07, 2019","335.54","329.14","341.50","328.02","14.47M","2.74%"
"Nov 06, 2019","326.58","318.00","326.72","314.50","7.94M","2.95%"
"Nov 05, 2019","317.22","319.62","323.51","316.12","6.94M","-0.08%"
"Nov 04, 2019","317.47","314.80","321.94","309.26","8.79M","1.33%"
