"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2020","1,279.31","1,262.14","1,280.05","1,249.90","1.64M","0.24%"
"Apr 23, 2020","1,276.31","1,269.36","1,293.31","1,265.69","1.57M","1.04%"
"Apr 22, 2020","1,263.21","1,245.27","1,285.29","1,242.14","2.09M","3.85%"
"Apr 21, 2020","1,216.34","1,247.00","1,253.75","1,209.71","2.15M","-3.97%"
"Apr 20, 2020","1,266.61","1,272.85","1,280.79","1,261.64","1.70M","-1.30%"
"Apr 17, 2020","1,283.25","1,288.32","1,294.43","1,271.45","1.95M","1.57%"
"Apr 16, 2020","1,263.47","1,274.10","1,277.98","1,243.00","2.52M","0.08%"
"Apr 15, 2020","1,262.47","1,247.62","1,280.30","1,240.99","1.67M","-0.53%"
"Apr 14, 2020","1,269.23","1,245.09","1,281.75","1,236.93","2.47M","4.24%"
"Apr 13, 2020","1,217.56","1,207.39","1,220.07","1,188.00","1.74M","0.50%"
"Apr 09, 2020","1,211.45","1,224.11","1,225.50","1,196.86","2.18M","0.10%"
"Apr 08, 2020","1,210.28","1,207.46","1,218.74","1,189.66","1.98M","2.00%"
"Apr 07, 2020","1,186.51","1,223.69","1,224.94","1,183.07","2.39M","-0.03%"
"Apr 06, 2020","1,186.92","1,138.37","1,193.65","1,132.51","2.66M","8.11%"
"Apr 03, 2020","1,097.88","1,121.08","1,121.94","1,080.00","2.31M","-2.05%"
"Apr 02, 2020","1,120.84","1,098.80","1,126.57","1,096.40","1.96M","1.38%"
"Apr 01, 2020","1,105.62","1,122.00","1,129.69","1,098.00","2.34M","-4.92%"
"Mar 31, 2020","1,162.81","1,149.56","1,175.00","1,139.00","2.49M","1.39%"
"Mar 30, 2020","1,146.82","1,125.04","1,151.63","1,096.48","2.57M","3.25%"
"Mar 27, 2020","1,110.71","1,125.06","1,150.43","1,106.45","3.21M","-4.39%"
"Mar 26, 2020","1,161.75","1,110.02","1,169.56","1,094.50","3.57M","5.38%"
"Mar 25, 2020","1,102.49","1,123.00","1,148.19","1,086.44","4.08M","-2.82%"
"Mar 24, 2020","1,134.46","1,105.12","1,134.46","1,091.54","3.34M","7.37%"
"Mar 23, 2020","1,056.62","1,061.32","1,071.32","1,013.54","4.04M","-1.46%"
"Mar 20, 2020","1,072.32","1,135.72","1,143.99","1,065.49","3.60M","-3.85%"
"Mar 19, 2020","1,115.29","1,092.31","1,157.36","1,060.20","3.65M","1.69%"
"Mar 18, 2020","1,096.80","1,055.98","1,106.00","1,037.28","4.23M","-2.05%"
"Mar 17, 2020","1,119.80","1,093.11","1,130.86","1,056.01","3.86M","3.27%"
"Mar 16, 2020","1,084.33","1,096.00","1,152.27","1,074.44","4.25M","-11.10%"
"Mar 13, 2020","1,219.73","1,179.00","1,219.76","1,117.14","3.70M","9.40%"
"Mar 12, 2020","1,114.91","1,126.00","1,193.87","1,113.30","4.23M","-8.27%"
"Mar 11, 2020","1,215.41","1,249.70","1,260.96","1,196.07","2.61M","-5.08%"
"Mar 10, 2020","1,280.39","1,260.00","1,281.15","1,218.77","2.61M","5.33%"
"Mar 09, 2020","1,215.56","1,205.30","1,254.76","1,200.00","3.37M","-6.38%"
"Mar 06, 2020","1,298.41","1,277.06","1,306.22","1,261.05","2.66M","-1.56%"
"Mar 05, 2020","1,319.04","1,350.20","1,358.91","1,305.10","2.56M","-4.87%"
"Mar 04, 2020","1,386.52","1,359.23","1,388.09","1,343.11","1.91M","3.36%"
"Mar 03, 2020","1,341.39","1,399.42","1,410.15","1,332.00","2.40M","-3.44%"
"Mar 02, 2020","1,389.11","1,351.61","1,390.87","1,326.82","2.43M","3.72%"
"Feb 28, 2020","1,339.33","1,277.50","1,341.14","1,271.00","3.79M","1.61%"
"Feb 27, 2020","1,318.09","1,362.06","1,371.70","1,317.17","2.98M","-5.39%"
"Feb 26, 2020","1,393.18","1,396.14","1,415.70","1,379.00","2.20M","0.34%"
"Feb 25, 2020","1,388.45","1,433.00","1,438.14","1,382.40","2.48M","-2.33%"
"Feb 24, 2020","1,421.59","1,426.11","1,436.97","1,411.39","2.87M","-4.28%"
"Feb 21, 2020","1,485.11","1,508.03","1,512.21","1,480.44","1.73M","-2.18%"
"Feb 20, 2020","1,518.15","1,522.00","1,529.64","1,506.82","1.10M","-0.56%"
"Feb 19, 2020","1,526.69","1,525.07","1,532.11","1,521.40","949.27K","0.46%"
"Feb 18, 2020","1,519.67","1,515.00","1,531.63","1,512.59","1.12M","-0.07%"
"Feb 14, 2020","1,520.74","1,515.60","1,520.74","1,507.34","1.20M","0.40%"
"Feb 13, 2020","1,514.66","1,512.69","1,527.18","1,504.60","929.73K","-0.24%"
"Feb 12, 2020","1,518.27","1,514.48","1,520.69","1,508.11","1.17M","0.63%"
"Feb 11, 2020","1,508.79","1,511.81","1,529.63","1,505.64","1.34M","0.01%"
"Feb 10, 2020","1,508.68","1,474.32","1,509.50","1,474.32","1.42M","1.99%"
"Feb 07, 2020","1,479.23","1,467.30","1,485.84","1,466.35","1.17M","0.20%"
"Feb 06, 2020","1,476.23","1,450.33","1,482.00","1,449.57","1.68M","1.93%"
"Feb 05, 2020","1,448.23","1,462.42","1,463.84","1,430.56","1.99M","0.08%"
"Feb 04, 2020","1,447.07","1,457.07","1,469.50","1,426.30","3.93M","-2.62%"
"Feb 03, 2020","1,485.94","1,462.00","1,490.00","1,458.99","3.06M","3.61%"
"Jan 31, 2020","1,434.23","1,468.90","1,470.13","1,428.53","2.42M","-1.48%"
"Jan 30, 2020","1,455.84","1,439.96","1,457.28","1,436.40","1.34M","-0.19%"
"Jan 29, 2020","1,458.63","1,458.80","1,465.43","1,446.74","1.08M","0.42%"
"Jan 28, 2020","1,452.56","1,443.00","1,456.00","1,432.47","1.58M","1.30%"
"Jan 27, 2020","1,433.90","1,431.00","1,438.07","1,421.20","1.76M","-2.24%"
"Jan 24, 2020","1,466.71","1,493.59","1,495.49","1,465.25","1.78M","-1.34%"
"Jan 23, 2020","1,486.65","1,487.64","1,495.52","1,482.10","1.35M","0.05%"
"Jan 22, 2020","1,485.95","1,491.00","1,503.21","1,484.93","1.61M","0.10%"
"Jan 21, 2020","1,484.40","1,479.12","1,491.85","1,471.20","2.04M","0.27%"
"Jan 17, 2020","1,480.39","1,462.91","1,481.30","1,458.22","2.40M","1.98%"
"Jan 16, 2020","1,451.70","1,447.44","1,451.99","1,440.92","1.17M","0.87%"
"Jan 15, 2020","1,439.20","1,430.21","1,441.39","1,430.21","1.28M","0.58%"
"Jan 14, 2020","1,430.88","1,439.01","1,441.80","1,428.37","1.56M","-0.58%"
"Jan 13, 2020","1,439.23","1,436.13","1,440.52","1,426.02","1.65M","0.66%"
"Jan 10, 2020","1,429.73","1,427.56","1,434.93","1,418.35","1.82M","0.70%"
"Jan 09, 2020","1,419.83","1,420.57","1,427.33","1,410.27","1.50M","1.10%"
"Jan 08, 2020","1,404.32","1,392.08","1,411.58","1,390.84","1.53M","0.79%"
"Jan 07, 2020","1,393.34","1,397.94","1,402.99","1,390.38","1.51M","-0.06%"
"Jan 06, 2020","1,394.21","1,350.00","1,396.50","1,350.00","1.73M","2.47%"
"Jan 03, 2020","1,360.66","1,347.86","1,372.50","1,345.54","1.19M","-0.49%"
"Jan 02, 2020","1,367.37","1,341.55","1,368.14","1,341.55","1.41M","2.27%"
"Dec 31, 2019","1,337.02","1,330.11","1,338.00","1,329.09","962.47K","0.07%"
"Dec 30, 2019","1,336.14","1,350.00","1,353.00","1,334.02","1.05M","-1.17%"
"Dec 27, 2019","1,351.89","1,362.99","1,364.53","1,349.31","1.04M","-0.63%"
"Dec 26, 2019","1,360.40","1,346.17","1,361.33","1,344.47","667.75K","1.25%"
"Dec 24, 2019","1,343.56","1,348.50","1,350.26","1,342.78","347.52K","-0.39%"
"Dec 23, 2019","1,348.84","1,355.87","1,359.80","1,346.51","883.20K","-0.06%"
"Dec 20, 2019","1,349.59","1,363.35","1,363.64","1,349.00","3.32M","-0.48%"
"Dec 19, 2019","1,356.04","1,351.82","1,358.10","1,348.98","1.47M","0.25%"
"Dec 18, 2019","1,352.62","1,356.60","1,360.47","1,351.00","1.66M","-0.18%"
"Dec 17, 2019","1,355.12","1,362.89","1,365.00","1,351.32","1.86M","-0.44%"
"Dec 16, 2019","1,361.17","1,356.50","1,364.68","1,352.67","1.40M","0.99%"
"Dec 13, 2019","1,347.83","1,347.95","1,353.09","1,343.87","1.55M","-0.18%"
"Dec 12, 2019","1,350.27","1,345.94","1,355.78","1,340.50","1.28M","0.39%"
"Dec 11, 2019","1,345.02","1,350.84","1,351.20","1,342.67","850.80K","0.03%"
"Dec 10, 2019","1,344.66","1,341.50","1,349.97","1,336.04","1.09M","0.08%"
"Dec 09, 2019","1,343.56","1,338.04","1,359.45","1,337.84","1.36M","0.22%"
"Dec 06, 2019","1,340.62","1,333.44","1,344.00","1,333.44","1.32M","0.94%"
"Dec 05, 2019","1,328.13","1,328.00","1,329.36","1,316.44","1.21M","0.57%"
"Dec 04, 2019","1,320.54","1,307.01","1,325.80","1,304.87","1.54M","1.95%"
"Dec 03, 2019","1,295.28","1,279.57","1,298.46","1,279.00","1.27M","0.42%"
"Dec 02, 2019","1,289.92","1,301.00","1,305.83","1,281.00","1.51M","-1.15%"
"Nov 29, 2019","1,304.96","1,307.12","1,310.20","1,303.97","586.98K","-0.61%"
"Nov 27, 2019","1,312.99","1,315.00","1,318.36","1,309.63","996.33K","-0.04%"
"Nov 26, 2019","1,313.55","1,309.86","1,314.80","1,305.09","1.07M","0.52%"
"Nov 25, 2019","1,306.69","1,299.18","1,311.31","1,298.13","1.04M","0.88%"
"Nov 22, 2019","1,295.34","1,305.62","1,308.73","1,291.41","1.39M","-0.46%"
"Nov 21, 2019","1,301.35","1,301.48","1,312.59","1,293.00","995.50K","-0.13%"
"Nov 20, 2019","1,303.05","1,311.74","1,315.00","1,291.15","1.31M","-0.94%"
"Nov 19, 2019","1,315.46","1,327.70","1,327.70","1,312.80","1.27M","-0.40%"
"Nov 18, 2019","1,320.70","1,332.22","1,335.53","1,317.50","1.49M","-1.06%"
"Nov 15, 2019","1,334.87","1,318.94","1,334.88","1,314.28","1.78M","1.79%"
"Nov 14, 2019","1,311.46","1,297.50","1,317.00","1,295.65","1.19M","1.04%"
"Nov 13, 2019","1,298.00","1,294.07","1,304.30","1,293.51","853.86K","-0.06%"
"Nov 12, 2019","1,298.80","1,300.00","1,310.00","1,295.77","1.09M","-0.03%"
"Nov 11, 2019","1,299.19","1,303.18","1,306.42","1,297.41","1.01M","-0.93%"
"Nov 08, 2019","1,311.37","1,305.28","1,318.00","1,304.37","1.25M","0.19%"
"Nov 07, 2019","1,308.86","1,294.28","1,323.74","1,294.24","2.03M","1.32%"
"Nov 06, 2019","1,291.80","1,289.46","1,293.73","1,282.50","1.15M","-0.02%"
"Nov 05, 2019","1,292.03","1,292.89","1,298.93","1,291.23","1.28M","0.05%"
"Nov 04, 2019","1,291.37","1,276.45","1,294.13","1,276.36","1.50M","1.38%"
"Nov 01, 2019","1,273.74","1,265.00","1,274.62","1,260.50","1.67M","1.08%"
"Oct 31, 2019","1,260.11","1,261.28","1,267.67","1,250.84","1.46M","-0.09%"
"Oct 30, 2019","1,261.29","1,252.97","1,269.36","1,252.00","1.41M","-0.11%"
"Oct 29, 2019","1,262.62","1,276.23","1,281.59","1,257.21","1.89M","-2.12%"
"Oct 28, 2019","1,290.00","1,275.45","1,299.31","1,272.54","2.61M","1.97%"
"Oct 25, 2019","1,265.13","1,251.03","1,269.60","1,250.01","1.21M","0.33%"
"Oct 24, 2019","1,260.99","1,260.90","1,264.00","1,253.71","1.04M","0.15%"
"Oct 23, 2019","1,259.13","1,242.36","1,259.89","1,242.36","928.60K","1.31%"
"Oct 22, 2019","1,242.80","1,247.85","1,250.60","1,241.38","1.05M","-0.27%"
"Oct 21, 2019","1,246.15","1,252.26","1,254.63","1,240.60","1.04M","0.05%"
"Oct 18, 2019","1,245.49","1,253.46","1,258.89","1,241.08","1.35M","-0.60%"
"Oct 17, 2019","1,253.07","1,250.93","1,263.33","1,249.94","980.51K","0.76%"
