"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2020","43.73","44.39","44.86","43.13","28.67M","0.64%"
"Apr 23, 2020","43.45","43.09","44.64","42.87","35.27M","3.13%"
"Apr 22, 2020","42.13","42.58","42.91","41.86","27.08M","2.86%"
"Apr 21, 2020","40.96","40.20","42.11","39.66","44.38M","-0.53%"
"Apr 20, 2020","41.18","40.59","42.73","40.57","39.26M","-4.72%"
"Apr 17, 2020","43.22","40.04","43.32","39.98","40.83M","10.40%"
"Apr 16, 2020","39.15","40.25","40.25","38.95","30.93M","-3.29%"
"Apr 15, 2020","40.48","40.59","40.93","39.38","33.13M","-4.60%"
"Apr 14, 2020","42.43","43.00","43.74","41.95","30.77M","-0.77%"
"Apr 13, 2020","42.76","44.47","44.47","42.02","29.65M","-0.86%"
"Apr 09, 2020","43.13","45.63","46.67","41.75","60.21M","-1.64%"
"Apr 08, 2020","43.85","41.94","44.02","41.51","33.36M","6.33%"
"Apr 07, 2020","41.24","43.00","43.30","41.19","48.92M","1.90%"
"Apr 06, 2020","40.47","39.91","40.82","39.26","41.30M","3.21%"
"Apr 03, 2020","39.21","41.50","42.15","38.54","48.43M","-2.95%"
"Apr 02, 2020","40.40","38.80","41.95","37.92","62.00M","7.65%"
"Apr 01, 2020","37.53","36.75","38.68","36.38","36.05M","-1.16%"
"Mar 31, 2020","37.97","38.50","39.45","37.39","41.49M","1.25%"
"Mar 30, 2020","37.50","36.23","38.15","35.86","45.83M","1.49%"
"Mar 27, 2020","36.95","37.15","37.66","36.20","51.56M","-4.82%"
"Mar 26, 2020","38.82","37.50","39.52","36.75","46.75M","4.10%"
"Mar 25, 2020","37.29","36.50","38.59","35.21","56.61M","5.22%"
"Mar 24, 2020","35.44","34.20","35.79","33.36","61.84M","12.69%"
"Mar 23, 2020","31.45","32.53","32.70","30.11","56.95M","-3.94%"
"Mar 20, 2020","32.74","34.84","35.18","31.56","76.53M","-4.91%"
"Mar 19, 2020","34.43","33.71","34.87","32.35","49.41M","3.96%"
"Mar 18, 2020","33.12","34.67","36.69","31.23","54.04M","-10.02%"
"Mar 17, 2020","36.81","35.21","37.38","34.20","41.20M","6.73%"
"Mar 16, 2020","34.49","34.40","37.88","33.25","48.92M","-9.52%"
"Mar 13, 2020","38.12","40.01","40.14","35.00","79.89M","2.53%"
"Mar 12, 2020","37.18","39.90","40.65","37.00","65.73M","-11.43%"
"Mar 11, 2020","41.98","42.39","43.48","41.75","52.02M","-3.29%"
"Mar 10, 2020","43.41","46.17","46.26","41.45","60.38M","3.70%"
"Mar 09, 2020","41.86","41.71","44.57","40.80","72.90M","-12.22%"
"Mar 06, 2020","47.69","48.84","49.01","47.20","55.64M","-4.83%"
"Mar 05, 2020","50.11","50.42","50.70","49.04","40.79M","-4.41%"
"Mar 04, 2020","52.42","52.23","52.48","51.12","24.08M","2.18%"
"Mar 03, 2020","51.30","53.95","54.15","50.98","50.58M","-4.79%"
"Mar 02, 2020","53.88","52.59","53.89","51.13","38.13M","4.74%"
"Feb 28, 2020","51.44","48.77","51.44","48.01","62.47M","3.25%"
"Feb 27, 2020","49.82","51.71","52.44","49.80","48.14M","-6.02%"
"Feb 26, 2020","53.01","54.55","54.82","52.93","29.81M","-2.20%"
"Feb 25, 2020","54.20","56.75","56.75","53.97","36.41M","-3.83%"
"Feb 24, 2020","56.36","57.62","57.80","56.36","32.10M","-4.68%"
"Feb 21, 2020","59.13","59.51","59.51","58.79","20.32M","-1.22%"
"Feb 20, 2020","59.86","60.23","60.54","59.72","14.82M","-0.80%"
"Feb 19, 2020","60.34","60.11","60.62","59.83","12.80M","0.77%"
"Feb 18, 2020","59.88","60.15","60.39","59.45","18.95M","-1.27%"
"Feb 14, 2020","60.65","61.15","61.16","60.28","10.86M","-0.46%"
"Feb 13, 2020","60.93","61.06","61.42","60.56","16.95M","-0.55%"
"Feb 12, 2020","61.27","61.34","61.53","60.56","17.86M","1.22%"
"Feb 11, 2020","60.53","60.58","60.89","60.17","14.91M","0.95%"
"Feb 10, 2020","59.96","60.48","60.52","59.62","20.93M","-2.46%"
"Feb 07, 2020","61.47","61.41","61.66","61.06","15.11M","-0.66%"
"Feb 06, 2020","61.88","62.93","63.01","61.78","16.06M","-1.36%"
"Feb 05, 2020","62.73","60.75","62.92","60.60","32.10M","4.60%"
"Feb 04, 2020","59.97","61.45","61.91","59.89","31.92M","-1.25%"
"Feb 03, 2020","60.73","61.38","61.42","60.37","27.40M","-2.24%"
"Jan 31, 2020","62.12","63.20","63.20","61.86","34.28M","-4.12%"
"Jan 30, 2020","64.79","63.78","64.88","63.43","18.54M","1.06%"
"Jan 29, 2020","64.11","65.03","65.13","63.90","14.23M","-0.84%"
"Jan 28, 2020","64.65","65.11","65.20","64.63","19.66M","-0.14%"
"Jan 27, 2020","64.74","65.42","65.73","64.70","21.23M","-2.38%"
"Jan 24, 2020","66.32","66.54","66.67","66.04","18.24M","-0.67%"
"Jan 23, 2020","66.77","66.71","66.93","66.05","19.61M","-0.63%"
"Jan 22, 2020","67.19","67.56","67.70","67.00","17.03M","-0.58%"
"Jan 21, 2020","67.58","68.38","68.42","67.51","17.98M","-1.43%"
"Jan 17, 2020","68.56","68.75","69.08","68.29","18.14M","-0.38%"
"Jan 16, 2020","68.82","69.30","69.58","68.80","13.34M","-0.39%"
"Jan 15, 2020","69.09","69.20","69.59","68.89","11.39M","-0.16%"
"Jan 14, 2020","69.20","69.38","69.58","68.89","16.27M","-0.86%"
"Jan 13, 2020","69.80","69.20","69.87","69.11","9.97M","0.95%"
"Jan 10, 2020","69.14","69.93","69.96","69.12","12.00M","-0.89%"
"Jan 09, 2020","69.76","69.14","69.90","68.62","14.81M","0.77%"
"Jan 08, 2020","69.23","70.11","70.28","69.17","15.14M","-1.51%"
"Jan 07, 2020","70.29","70.50","70.52","69.51","17.50M","-0.82%"
"Jan 06, 2020","70.87","70.32","71.36","70.23","20.08M","0.77%"
"Jan 03, 2020","70.33","71.34","71.37","70.16","17.39M","-0.80%"
"Jan 02, 2020","70.90","70.24","71.02","70.24","12.41M","1.61%"
"Dec 31, 2019","69.78","69.02","69.80","69.01","13.16M","0.43%"
"Dec 30, 2019","69.48","70.09","70.44","69.40","12.69M","-0.59%"
"Dec 27, 2019","69.89","70.20","70.31","69.88","10.52M","-0.34%"
"Dec 26, 2019","70.13","70.19","70.50","70.01","8.84M","0.16%"
"Dec 24, 2019","70.02","70.35","70.50","69.91","3.98M","-0.38%"
"Dec 23, 2019","70.29","69.86","70.30","69.53","14.17M","0.50%"
"Dec 20, 2019","69.94","69.86","70.23","69.39","35.09M","0.79%"
"Dec 19, 2019","69.39","69.99","70.05","69.24","13.28M","-0.69%"
"Dec 18, 2019","69.87","69.63","70.29","69.28","13.65M","0.27%"
"Dec 17, 2019","69.68","69.98","70.38","69.31","14.46M","-0.46%"
"Dec 16, 2019","70.00","69.70","70.25","69.70","15.21M","1.11%"
"Dec 13, 2019","69.23","70.48","70.54","69.12","12.28M","-1.58%"
"Dec 12, 2019","70.34","68.96","70.38","68.90","17.07M","2.00%"
"Dec 11, 2019","68.96","68.74","69.76","68.67","13.75M","-0.14%"
"Dec 10, 2019","69.06","69.66","70.15","68.70","14.28M","-0.86%"
"Dec 09, 2019","69.66","69.08","69.97","69.02","12.41M","0.22%"
"Dec 06, 2019","69.51","68.76","69.87","68.76","13.71M","1.61%"
"Dec 05, 2019","68.41","68.89","68.97","68.20","13.11M","-0.35%"
"Dec 04, 2019","68.65","68.25","68.76","68.14","11.05M","1.13%"
"Dec 03, 2019","67.88","68.00","68.25","67.52","12.87M","-0.79%"
"Dec 02, 2019","68.42","68.50","68.88","68.37","11.12M","0.43%"
"Nov 29, 2019","68.13","68.33","68.53","68.00","7.98M","-0.83%"
"Nov 27, 2019","68.70","68.76","69.09","68.41","8.40M","-0.06%"
"Nov 26, 2019","68.74","68.92","69.03","68.44","15.46M","-0.25%"
"Nov 25, 2019","68.91","69.37","69.44","68.71","10.67M","-0.66%"
"Nov 22, 2019","69.37","69.71","70.18","69.33","12.14M","-0.43%"
"Nov 21, 2019","69.67","68.02","69.75","67.92","14.08M","2.41%"
"Nov 20, 2019","68.03","67.67","68.54","67.32","16.93M","0.31%"
"Nov 19, 2019","67.82","68.40","68.56","67.78","12.61M","-1.02%"
"Nov 18, 2019","68.52","68.70","68.82","68.30","10.10M","-0.97%"
"Nov 15, 2019","69.19","68.71","69.30","68.67","11.25M","1.01%"
"Nov 14, 2019","68.50","68.86","68.97","68.18","11.28M","-0.44%"
"Nov 13, 2019","68.80","69.02","69.15","68.60","12.04M","-0.82%"
"Nov 12, 2019","69.37","70.27","70.41","68.98","13.92M","-1.38%"
"Nov 11, 2019","70.34","70.21","70.61","69.97","8.68M","-0.61%"
"Nov 08, 2019","70.77","71.61","71.80","70.66","12.11M","-3.07%"
"Nov 07, 2019","73.01","72.03","73.03","72.00","13.07M","2.13%"
"Nov 06, 2019","71.49","72.73","72.87","71.20","14.00M","-2.19%"
"Nov 05, 2019","73.09","72.04","73.12","71.85","14.93M","1.98%"
"Nov 04, 2019","71.67","70.07","71.87","69.94","15.86M","2.97%"
"Nov 01, 2019","69.60","68.39","69.61","68.31","14.11M","3.00%"
"Oct 31, 2019","67.57","67.46","67.72","67.14","16.17M","-0.22%"
"Oct 30, 2019","67.72","68.37","68.37","67.27","12.84M","-1.05%"
"Oct 29, 2019","68.44","68.48","69.03","68.24","13.89M","-0.29%"
"Oct 28, 2019","68.64","69.46","69.67","68.58","11.21M","-0.88%"
"Oct 25, 2019","69.25","68.90","69.48","68.90","7.61M","0.23%"
"Oct 24, 2019","69.09","69.96","70.05","69.02","9.07M","-0.95%"
"Oct 23, 2019","69.75","68.96","69.76","68.78","8.72M","0.96%"
